ts	iface	rx_bytes	tx_bytes
1787644384.872048477	s4-eth9	16106	44553746
1787644384.872048477	s5-eth1	2010465919	414701
1787644384.872048477	s5-eth2	1228765092	817147893
1787644384.872048477	s5-eth3	11987	1951732890
1787644384.872048477	s5-eth4	454734	11987
1787644384.872048477	s6-eth1	11987	21152
1787644384.872048477	s6-eth2	1382796	9754
1787644384.872048477	s6-eth3	11987	1277017
1787644384.872048477	s6-eth4	10221	11987
1787644384.872048477	s7-eth1	1106621740	796431019
1787644384.872048477	s7-eth2	413929	1891508570
1787644384.872048477	s7-eth3	1807879504	9957
1787644384.872048477	s7-eth4	195191	673835
1787644384.872048477	s8-eth1	11987	8312888
1787644384.872048477	s8-eth2	21803	11987
1787644384.872048477	s8-eth3	8401701	11987
1787644384.872048477	s8-eth4	45628	11987
1787644384.872048477	s9-eth1	1951732890	11987
1787644384.872048477	s9-eth2	1277017	11987
1787644384.872048477	s9-eth3	9957	1807879504
1787644384.872048477	s9-eth4	11987	8401701
1787644387.154166492	s10-eth1	11987	454734
1787644387.154166492	s10-eth2	11987	10221
1787644387.154166492	s10-eth3	673835	195191
1787644387.154166492	s10-eth4	11987	45628
1787644387.154166492	s1-eth1	414701	2010465919
1787644387.154166492	s1-eth10	70184041	17726
1787644387.154166492	s1-eth11	217592393	19725
1787644387.154166492	s1-eth12	70182388	17893
1787644387.154166492	s1-eth13	76611484	19076
1787644387.154166492	s1-eth14	70181863	17894
1787644387.154166492	s1-eth15	33372179	20581
1787644387.154166492	s1-eth16	50876752	16898
1787644387.154166492	s1-eth17	76628004	18292
1787644387.154166492	s1-eth18	70186718	17549
1787644387.154166492	s1-eth19	229163549	17784
1787644387.154166492	s1-eth2	21152	11987
1787644387.154166492	s1-eth20	70190152	16746
1787644387.154166492	s1-eth21	63754867	17355
1787644387.154166492	s1-eth22	70176529	16880
1787644387.154166492	s1-eth23	33372168	19372
1787644387.154166492	s1-eth24	66965690	15928
1787644387.154166492	s1-eth25	38000545	15875
1787644387.154166492	s1-eth26	50873838	15379
1787644387.154166492	s1-eth27	217601177	17767
1787644387.154166492	s1-eth28	50870455	15464
1787644387.154166492	s1-eth29	57315517	17534
1787644387.154166492	s1-eth3	345052048	19703
1787644387.154166492	s1-eth30	57314683	15556
1787644387.154166492	s1-eth31	30796854	18081
1787644387.154166492	s1-eth32	70187909	16731
1787644387.154166492	s1-eth33	57318346	17482
1787644387.154166492	s1-eth34	50875308	15353
1787644387.154166492	s1-eth4	70184840	18629
1787644387.154166492	s1-eth5	76617581	19771
1787644387.154166492	s1-eth6	70177558	18608
1787644387.154166492	s1-eth7	33366319	20512
1787644387.154166492	s1-eth8	70186433	19076
1787644387.154166492	s1-eth9	76614389	19326
1787644387.154166492	s2-eth1	817147893	1228765092
1787644387.154166492	s2-eth10	70185294	17764
1787644387.154166492	s2-eth11	294817457	19517
1787644387.154166492	s2-eth12	70186569	17856
1787644387.154166492	s2-eth13	76627604	18500
1787644387.154166492	s2-eth14	70187528	17298
1787644387.154166492	s2-eth15	33373894	19857
1787644387.154166492	s2-eth16	63754726	16361
1787644387.154166492	s2-eth17	76626331	18564
1787644387.154166492	s2-eth18	57313731	16204
1787644387.154166492	s2-eth19	14893	165362571
1787644387.154166492	s2-eth2	9754	1382796
1787644387.154166492	s2-eth20	13479	36289633
1787644387.154166492	s2-eth21	13975	36530448
1787644387.154166492	s2-eth22	13343	35509688
1787644387.154166492	s2-eth23	16304	25075747
1787644387.154166492	s2-eth24	12555	33373296
1787644387.154166492	s2-eth25	12949	30922764
1787644387.154166492	s2-eth26	12582	28168523
1787644387.154166492	s2-eth27	14794	108728477
1787644387.154166492	s2-eth28	12824	27745086
1787644387.154166492	s2-eth29	14491	38154668
1787644387.154166492	s2-eth3	309008594	19599
1787644387.154166492	s2-eth30	12778	30347750
1787644387.154166492	s2-eth31	14708	24083804
1787644387.154166492	s2-eth32	13868	34355592
1787644387.154166492	s2-eth33	14372	37209655
1787644387.154166492	s2-eth34	12313	27739896
1787644387.154166492	s2-eth4	66938902	16455
1787644387.154166492	s2-eth5	76608233	18835
1787644387.154166492	s2-eth6	70180983	16892
1787644387.154166492	s2-eth7	28864838	18566
1787644387.154166492	s2-eth8	70171821	17196
1787644387.154166492	s2-eth9	76612496	18770
1787644387.154166492	s3-eth1	796431019	1106621740
1787644387.154166492	s3-eth10	15247	30882005
1787644387.154166492	s3-eth11	16325	107935092
1787644387.154166492	s3-eth12	15615	30740508
1787644387.154166492	s3-eth13	16493	34952831
1787644387.154166492	s3-eth14	14979	30455218
1787644387.154166492	s3-eth15	17863	23876603
1787644387.154166492	s3-eth16	13506	28745474
1787644387.154166492	s3-eth17	15664	44718400
1787644387.154166492	s3-eth18	14302	30197367
1787644387.154166492	s3-eth19	296126916	18321
1787644387.154166492	s3-eth2	8312888	11987
1787644387.154166492	s3-eth20	63743432	16089
1787644387.154166492	s3-eth21	76626321	18261
1787644387.154166492	s3-eth22	66957942	16125
1787644387.154166492	s3-eth23	30150545	17976
1787644387.154166492	s3-eth24	44437054	14887
1787644387.154166492	s3-eth25	76630483	18118
1787644387.154166492	s3-eth26	70188391	16792
1787644387.154166492	s3-eth27	178977723	16548
1787644387.154166492	s3-eth28	70191163	16636
1787644387.154166492	s3-eth29	76611023	17892
1787644387.154166492	s3-eth3	16330	161395852
1787644387.154166492	s3-eth30	54090982	14894
1787644387.154166492	s3-eth31	25130965	17553
1787644387.154166492	s3-eth32	48297169	15932
1787644387.154166492	s3-eth33	76619582	17829
1787644387.154166492	s3-eth34	38000129	14977
1787644387.154166492	s3-eth4	15196	31930291
1787644387.154166492	s3-eth5	17092	36251112
1787644387.154166492	s3-eth6	15492	31489635
1787644387.154166492	s3-eth7	17736	24415673
1787644387.154166492	s3-eth8	16155	31277354
1787644387.154166492	s3-eth9	16542	35577110
1787644387.154166492	s4-eth1	1891508570	413929
1787644387.154166492	s4-eth10	14529	38988639
1787644387.154166492	s4-eth11	16930	145829406
1787644387.154166492	s4-eth12	14850	38838299
1787644387.154166492	s4-eth13	16419	44086856
1787644387.154166492	s4-eth14	14629	39425447
1787644387.154166492	s4-eth15	17839	26344884
1787644387.154166492	s4-eth16	13766	45557601
1787644387.154166492	s4-eth17	15486	44003025
1787644387.154166492	s4-eth18	13486	34987218
1787644387.154166492	s4-eth19	14854	175886093
1787644387.154166492	s4-eth2	11987	21803
1787644387.154166492	s4-eth20	12552	44811515
1787644387.154166492	s4-eth21	14814	55287800
1787644387.154166492	s4-eth22	12585	46378658
1787644387.154166492	s4-eth23	14569	27549466
1787644387.154166492	s4-eth24	11483	36426299
1787644387.154166492	s4-eth25	14671	55370795
1787644387.154166492	s4-eth26	13435	49376203
1787644387.154166492	s4-eth27	13304	132496284
1787644387.154166492	s4-eth28	13189	49709030
1787644387.154166492	s4-eth29	14579	54477762
1787644387.154166492	s4-eth3	16790	154824599
1787644387.154166492	s4-eth30	11607	39975465
1787644387.154166492	s4-eth31	14887	22954652
1787644387.154166492	s4-eth32	12773	29010112
1787644387.154166492	s4-eth33	14358	54828202
1787644387.154166492	s4-eth34	11526	34810298
1787644387.154166492	s4-eth4	14188	37151534
1787644387.154166492	s4-eth5	15733	44820189
1787644387.154166492	s4-eth6	14384	39492423
1787644387.154166492	s4-eth7	15992	24714926
1787644387.154166492	s4-eth8	14666	39296886
1787644387.154166492	s4-eth9	16106	44553746
1787644387.154166492	s5-eth1	2010465919	414701
1787644387.154166492	s5-eth2	1228765092	817147893
1787644387.154166492	s5-eth3	11987	1951732890
1787644387.154166492	s5-eth4	454734	11987
1787644387.154166492	s6-eth1	11987	21152
1787644387.154166492	s6-eth2	1382796	9754
1787644387.154166492	s6-eth3	11987	1277017
1787644387.154166492	s6-eth4	10221	11987
1787644387.154166492	s7-eth1	1106621740	796431019
1787644387.154166492	s7-eth2	413929	1891508570
1787644387.154166492	s7-eth3	1807879504	9957
1787644387.154166492	s7-eth4	195191	673835
1787644387.154166492	s8-eth1	11987	8312888
1787644387.154166492	s8-eth2	21803	11987
1787644387.154166492	s8-eth3	8401701	11987
1787644387.154166492	s8-eth4	45628	11987
1787644387.154166492	s9-eth1	1951732890	11987
1787644387.154166492	s9-eth2	1277017	11987
1787644387.154166492	s9-eth3	9957	1807879504
1787644387.154166492	s9-eth4	11987	8401701
1787644389.442658652	s10-eth1	11987	454734
1787644389.442658652	s10-eth2	11987	10221
1787644389.442658652	s10-eth3	673835	195191
1787644389.442658652	s10-eth4	11987	45628
1787644389.442658652	s1-eth1	414728	2010465946
1787644389.442658652	s1-eth10	70184041	17726
1787644389.442658652	s1-eth11	217592393	19725
1787644389.442658652	s1-eth12	70182388	17893
1787644389.442658652	s1-eth13	76611484	19076
1787644389.442658652	s1-eth14	70181863	17894
1787644389.442658652	s1-eth15	33372179	20581
1787644389.442658652	s1-eth16	50876752	16898
1787644389.442658652	s1-eth17	76628004	18292
1787644389.442658652	s1-eth18	70186718	17549
1787644389.442658652	s1-eth19	229163549	17784
1787644389.442658652	s1-eth2	21179	12014
1787644389.442658652	s1-eth20	70190152	16746
1787644389.442658652	s1-eth21	63754867	17355
1787644389.442658652	s1-eth22	70176529	16880
1787644389.442658652	s1-eth23	33372168	19372
1787644389.442658652	s1-eth24	66965690	15928
1787644389.442658652	s1-eth25	38000545	15875
1787644389.442658652	s1-eth26	50873838	15379
1787644389.442658652	s1-eth27	217601177	17767
1787644389.442658652	s1-eth28	50870455	15464
1787644389.442658652	s1-eth29	57315517	17534
1787644389.442658652	s1-eth3	345052048	19703
1787644389.442658652	s1-eth30	57314683	15556
1787644389.442658652	s1-eth31	30796854	18081
1787644389.442658652	s1-eth32	70187909	16731
1787644389.442658652	s1-eth33	57318346	17482
1787644389.442658652	s1-eth34	50875308	15353
1787644389.442658652	s1-eth4	70184840	18629
1787644389.442658652	s1-eth5	76617581	19771
1787644389.442658652	s1-eth6	70177558	18608
1787644389.442658652	s1-eth7	33366319	20512
1787644389.442658652	s1-eth8	70186433	19076
1787644389.442658652	s1-eth9	76614389	19326
1787644389.442658652	s2-eth1	817147920	1228765119
1787644389.442658652	s2-eth10	70185294	17764
1787644389.442658652	s2-eth11	294817457	19517
1787644389.442658652	s2-eth12	70186569	17856
1787644389.442658652	s2-eth13	76627604	18500
1787644389.442658652	s2-eth14	70187528	17298
1787644389.442658652	s2-eth15	33373894	19857
1787644389.442658652	s2-eth16	63754726	16361
1787644389.442658652	s2-eth17	76626331	18564
1787644389.442658652	s2-eth18	57313731	16204
1787644389.442658652	s2-eth19	14893	165362571
1787644389.442658652	s2-eth2	9781	1382823
1787644389.442658652	s2-eth20	13479	36289633
1787644389.442658652	s2-eth21	13975	36530448
1787644389.442658652	s2-eth22	13343	35509688
1787644389.442658652	s2-eth23	16304	25075747
1787644389.442658652	s2-eth24	12555	33373296
1787644389.442658652	s2-eth25	12949	30922764
1787644389.442658652	s2-eth26	12582	28168523
1787644389.442658652	s2-eth27	14794	108728477
1787644389.442658652	s2-eth28	12824	27745086
1787644389.442658652	s2-eth29	14491	38154668
1787644389.442658652	s2-eth3	309008594	19599
1787644389.442658652	s2-eth30	12778	30347750
1787644389.442658652	s2-eth31	14708	24083804
1787644389.442658652	s2-eth32	13868	34355592
1787644389.442658652	s2-eth33	14372	37209655
1787644389.442658652	s2-eth34	12313	27739896
1787644389.442658652	s2-eth4	66938902	16455
1787644389.442658652	s2-eth5	76608233	18835
1787644389.442658652	s2-eth6	70180983	16892
1787644389.442658652	s2-eth7	28864838	18566
1787644389.442658652	s2-eth8	70171821	17196
1787644389.442658652	s2-eth9	76612496	18770
1787644389.442658652	s3-eth1	796431046	1106621767
1787644389.442658652	s3-eth10	15247	30882005
1787644389.442658652	s3-eth11	16325	107935092
1787644389.442658652	s3-eth12	15615	30740508
1787644389.442658652	s3-eth13	16493	34952831
1787644389.442658652	s3-eth14	14979	30455218
1787644389.442658652	s3-eth15	17863	23876603
1787644389.442658652	s3-eth16	13506	28745474
1787644389.442658652	s3-eth17	15664	44718400
1787644389.442658652	s3-eth18	14302	30197367
1787644389.442658652	s3-eth19	296126916	18321
1787644389.442658652	s3-eth2	8312915	12014
1787644389.442658652	s3-eth20	63743432	16089
1787644389.442658652	s3-eth21	76626321	18261
1787644389.442658652	s3-eth22	66957942	16125
1787644389.442658652	s3-eth23	30150545	17976
1787644389.442658652	s3-eth24	44437054	14887
1787644389.442658652	s3-eth25	76630483	18118
1787644389.442658652	s3-eth26	70188391	16792
1787644389.442658652	s3-eth27	178977723	16548
1787644389.442658652	s3-eth28	70191163	16636
1787644389.442658652	s3-eth29	76611023	17892
1787644389.442658652	s3-eth3	16330	161395852
1787644389.442658652	s3-eth30	54090982	14894
1787644389.442658652	s3-eth31	25130965	17553
1787644389.442658652	s3-eth32	48297169	15932
1787644389.442658652	s3-eth33	76619582	17829
1787644389.442658652	s3-eth34	38000129	14977
1787644389.442658652	s3-eth4	15196	31930291
1787644389.442658652	s3-eth5	17092	36251112
1787644389.442658652	s3-eth6	15492	31489635
1787644389.442658652	s3-eth7	17736	24415673
1787644389.442658652	s3-eth8	16155	31277354
1787644389.442658652	s3-eth9	16542	35577110
1787644389.442658652	s4-eth1	1891508597	413956
1787644389.442658652	s4-eth10	14529	38988639
1787644389.442658652	s4-eth11	16930	145829406
1787644389.442658652	s4-eth12	14850	38838299
1787644389.442658652	s4-eth13	16419	44086856
1787644389.442658652	s4-eth14	14629	39425447
1787644389.442658652	s4-eth15	17839	26344884
1787644389.442658652	s4-eth16	13766	45557601
1787644389.442658652	s4-eth17	15486	44003025
1787644389.442658652	s4-eth18	13486	34987218
1787644389.442658652	s4-eth19	14854	175886093
1787644389.442658652	s4-eth2	12014	21830
1787644389.442658652	s4-eth20	12552	44811515
1787644389.442658652	s4-eth21	14814	55287800
1787644389.442658652	s4-eth22	12585	46378658
1787644389.442658652	s4-eth23	14569	27549466
1787644389.442658652	s4-eth24	11483	36426299
1787644389.442658652	s4-eth25	14671	55370795
1787644389.442658652	s4-eth26	13435	49376203
1787644389.442658652	s4-eth27	13304	132496284
1787644389.442658652	s4-eth28	13189	49709030
1787644389.442658652	s4-eth29	14579	54477762
1787644389.442658652	s4-eth3	16790	154824599
1787644389.442658652	s4-eth30	11607	39975465
1787644389.442658652	s4-eth31	14887	22954652
1787644389.442658652	s4-eth32	12773	29010112
1787644389.442658652	s4-eth33	14358	54828202
1787644389.442658652	s4-eth34	11526	34810298
1787644389.442658652	s4-eth4	14188	37151534
1787644389.442658652	s4-eth5	15733	44820189
1787644389.442658652	s4-eth6	14384	39492423
1787644389.442658652	s4-eth7	15992	24714926
1787644389.442658652	s4-eth8	14666	39296886
1787644389.442658652	s4-eth9	16106	44553746
1787644389.442658652	s5-eth1	2010465946	414728
1787644389.442658652	s5-eth2	1228765119	817147920
1787644389.442658652	s5-eth3	12014	1951732917
1787644389.442658652	s5-eth4	454762	12014
1787644389.442658652	s6-eth1	12014	21179
1787644389.442658652	s6-eth2	1382823	9781
1787644389.442658652	s6-eth3	12014	1277044
1787644389.442658652	s6-eth4	10249	12014
1787644389.442658652	s7-eth1	1106621767	796431046
1787644389.442658652	s7-eth2	413956	1891508597
1787644389.442658652	s7-eth3	1807879531	9984
1787644389.442658652	s7-eth4	195219	673862
1787644389.442658652	s8-eth1	12014	8312915
1787644389.442658652	s8-eth2	21830	12014
1787644389.442658652	s8-eth3	8401728	12014
1787644389.442658652	s8-eth4	45656	12014
1787644389.442658652	s9-eth1	1951732917	12014
1787644389.442658652	s9-eth2	1277044	12014
1787644389.442658652	s9-eth3	9984	1807879531
1787644389.442658652	s9-eth4	12014	8401728
1787644391.717726125	s10-eth1	12014	454762
1787644391.717726125	s10-eth2	12014	10249
1787644391.717726125	s10-eth3	673862	195219
1787644391.717726125	s10-eth4	12014	45656
1787644391.717726125	s1-eth1	414728	2010465946
1787644391.717726125	s1-eth10	70184041	17726
1787644391.717726125	s1-eth11	217592393	19725
1787644391.717726125	s1-eth12	70182388	17893
1787644391.717726125	s1-eth13	76611484	19076
1787644391.717726125	s1-eth14	70181863	17894
1787644391.717726125	s1-eth15	33372179	20581
1787644391.717726125	s1-eth16	50876752	16898
1787644391.717726125	s1-eth17	76628004	18292
1787644391.717726125	s1-eth18	70186718	17549
1787644391.717726125	s1-eth19	229163549	17784
1787644391.717726125	s1-eth2	21179	12014
1787644391.717726125	s1-eth20	70190152	16746
1787644391.717726125	s1-eth21	63754867	17355
1787644391.717726125	s1-eth22	70176529	16880
1787644391.717726125	s1-eth23	33372168	19372
1787644391.717726125	s1-eth24	66965690	15928
1787644391.717726125	s1-eth25	38000545	15875
1787644391.717726125	s1-eth26	50873838	15379
1787644391.717726125	s1-eth27	217601177	17767
1787644391.717726125	s1-eth28	50870455	15464
1787644391.717726125	s1-eth29	57315517	17534
1787644391.717726125	s1-eth3	345052048	19703
1787644391.717726125	s1-eth30	57314683	15556
1787644391.717726125	s1-eth31	30796854	18081
1787644391.717726125	s1-eth32	70187909	16731
1787644391.717726125	s1-eth33	57318346	17482
1787644391.717726125	s1-eth34	50875308	15353
1787644391.717726125	s1-eth4	70184840	18629
1787644391.717726125	s1-eth5	76617581	19771
1787644391.717726125	s1-eth6	70177558	18608
1787644391.717726125	s1-eth7	33366319	20512
1787644391.717726125	s1-eth8	70186433	19076
1787644391.717726125	s1-eth9	76614389	19326
1787644391.717726125	s2-eth1	817147920	1228765119
1787644391.717726125	s2-eth10	70185294	17764
1787644391.717726125	s2-eth11	294817457	19517
1787644391.717726125	s2-eth12	70186569	17856
1787644391.717726125	s2-eth13	76627604	18500
1787644391.717726125	s2-eth14	70187528	17298
1787644391.717726125	s2-eth15	33373894	19857
1787644391.717726125	s2-eth16	63754726	16361
1787644391.717726125	s2-eth17	76626331	18564
1787644391.717726125	s2-eth18	57313731	16204
1787644391.717726125	s2-eth19	14893	165362571
1787644391.717726125	s2-eth2	9781	1382823
1787644391.717726125	s2-eth20	13479	36289633
1787644391.717726125	s2-eth21	13975	36530448
1787644391.717726125	s2-eth22	13343	35509688
1787644391.717726125	s2-eth23	16304	25075747
1787644391.717726125	s2-eth24	12555	33373296
1787644391.717726125	s2-eth25	12949	30922764
1787644391.717726125	s2-eth26	12582	28168523
1787644391.717726125	s2-eth27	14794	108728477
1787644391.717726125	s2-eth28	12824	27745086
1787644391.717726125	s2-eth29	14491	38154668
1787644391.717726125	s2-eth3	309008594	19599
1787644391.717726125	s2-eth30	12778	30347750
1787644391.717726125	s2-eth31	14708	24083804
1787644391.717726125	s2-eth32	13868	34355592
1787644391.717726125	s2-eth33	14372	37209655
1787644391.717726125	s2-eth34	12313	27739896
1787644391.717726125	s2-eth4	66938902	16455
1787644391.717726125	s2-eth5	76608233	18835
1787644391.717726125	s2-eth6	70180983	16892
1787644391.717726125	s2-eth7	28864838	18566
1787644391.717726125	s2-eth8	70171821	17196
1787644391.717726125	s2-eth9	76612496	18770
1787644391.717726125	s3-eth1	796431046	1106621767
1787644391.717726125	s3-eth10	15247	30882005
1787644391.717726125	s3-eth11	16325	107935092
1787644391.717726125	s3-eth12	15615	30740508
1787644391.717726125	s3-eth13	16493	34952831
1787644391.717726125	s3-eth14	14979	30455218
1787644391.717726125	s3-eth15	17863	23876603
1787644391.717726125	s3-eth16	13506	28745474
1787644391.717726125	s3-eth17	15664	44718400
1787644391.717726125	s3-eth18	14302	30197367
1787644391.717726125	s3-eth19	296126916	18321
1787644391.717726125	s3-eth2	8312915	12014
1787644391.717726125	s3-eth20	63743432	16089
1787644391.717726125	s3-eth21	76626321	18261
1787644391.717726125	s3-eth22	66957942	16125
1787644391.717726125	s3-eth23	30150545	17976
1787644391.717726125	s3-eth24	44437054	14887
1787644391.717726125	s3-eth25	76630483	18118
1787644391.717726125	s3-eth26	70188391	16792
1787644391.717726125	s3-eth27	178977723	16548
1787644391.717726125	s3-eth28	70191163	16636
1787644391.717726125	s3-eth29	76611023	17892
1787644391.717726125	s3-eth3	16330	161395852
1787644391.717726125	s3-eth30	54090982	14894
1787644391.717726125	s3-eth31	25130965	17553
1787644391.717726125	s3-eth32	48297169	15932
1787644391.717726125	s3-eth33	76619582	17829
1787644391.717726125	s3-eth34	38000129	14977
1787644391.717726125	s3-eth4	15196	31930291
1787644391.717726125	s3-eth5	17092	36251112
1787644391.717726125	s3-eth6	15492	31489635
1787644391.717726125	s3-eth7	17736	24415673
1787644391.717726125	s3-eth8	16155	31277354
1787644391.717726125	s3-eth9	16542	35577110
1787644391.717726125	s4-eth1	1891508597	413956
1787644391.717726125	s4-eth10	14529	38988639
1787644391.717726125	s4-eth11	16930	145829406
1787644391.717726125	s4-eth12	14850	38838299
1787644391.717726125	s4-eth13	16419	44086856
1787644391.717726125	s4-eth14	14629	39425447
1787644391.717726125	s4-eth15	17839	26344884
1787644391.717726125	s4-eth16	13766	45557601
1787644391.717726125	s4-eth17	15486	44003025
1787644391.717726125	s4-eth18	13486	34987218
1787644391.717726125	s4-eth19	14854	175886093
1787644391.717726125	s4-eth2	12014	21830
1787644391.717726125	s4-eth20	12552	44811515
1787644391.717726125	s4-eth21	14814	55287800
1787644391.717726125	s4-eth22	12585	46378658
1787644391.717726125	s4-eth23	14569	27549466
1787644391.717726125	s4-eth24	11483	36426299
1787644391.717726125	s4-eth25	14671	55370795
1787644391.717726125	s4-eth26	13435	49376203
1787644391.717726125	s4-eth27	13304	132496284
