ts	iface	rx_bytes	tx_bytes
1787676188.129963927	s3-eth24	1452	5262
1787676188.129963927	s3-eth25	1612	5352
1787676188.129963927	s3-eth26	1452	5332
1787676188.129963927	s3-eth27	218878499	6514
1787676188.129963927	s3-eth28	1612	5352
1787676188.129963927	s3-eth29	1682	5332
1787676188.129963927	s3-eth3	2864	840505347
1787676188.129963927	s3-eth30	1682	5262
1787676188.129963927	s3-eth31	218878643	6578
1787676188.129963927	s3-eth32	1772	5332
1787676188.129963927	s3-eth33	1452	5262
1787676188.129963927	s3-eth34	1702	5332
1787676188.129963927	s3-eth4	1612	5422
1787676188.129963927	s3-eth5	1702	5262
1787676188.129963927	s3-eth6	1702	5352
1787676188.129963927	s3-eth7	3160	212057546
1787676188.129963927	s3-eth8	1452	5242
1787676188.129963927	s3-eth9	1772	5332
1787676188.129963927	s4-eth1	1393369364	36939
1787676188.129963927	s4-eth10	1682	5312
1787676188.129963927	s4-eth11	2702	216342782
1787676188.129963927	s4-eth12	1522	5382
1787676188.129963927	s4-eth13	1702	5262
1787676188.129963927	s4-eth14	1522	5262
1787676188.129963927	s4-eth15	2705	216337202
1787676188.129963927	s4-eth16	1612	5262
1787676188.129963927	s4-eth17	1612	5242
1787676188.129963927	s4-eth18	1682	5242
1787676188.129963927	s4-eth19	2999	43760022
1787676188.129963927	s4-eth2	26597	26667
1787676188.129963927	s4-eth20	1702	5312
1787676188.129963927	s4-eth21	1522	5262
1787676188.129963927	s4-eth22	1702	5382
1787676188.129963927	s4-eth23	2769	218748168
1787676188.129963927	s4-eth24	1452	5422
1787676188.129963927	s4-eth25	1612	5312
1787676188.129963927	s4-eth26	1452	5242
1787676188.129963927	s4-eth27	2774	218752369
1787676188.129963927	s4-eth28	1612	5262
1787676188.129963927	s4-eth29	1452	5332
1787676188.129963927	s4-eth3	2835	43272648
1787676188.129963927	s4-eth30	1452	5242
1787676188.129963927	s4-eth31	3088	218753955
1787676188.129963927	s4-eth32	1682	5312
1787676188.129963927	s4-eth33	1772	5242
1787676188.129963927	s4-eth34	1522	5422
1787676188.129963927	s4-eth4	1772	5262
1787676188.129963927	s4-eth5	1682	5312
1787676188.129963927	s4-eth6	1682	5242
1787676188.129963927	s4-eth7	2706	216430818
1787676188.129963927	s4-eth8	1612	5242
1787676188.129963927	s4-eth9	1612	5332
1787676188.129963927	s5-eth1	3050464715	37048
1787676188.129963927	s5-eth2	700439169	1495794360
1787676188.129963927	s5-eth3	37022	26667
1787676188.129963927	s5-eth4	27462	2195513010
1787676188.129963927	s6-eth1	26667	26730
1787676188.129963927	s6-eth2	26597	24434
1787676188.129963927	s6-eth3	26597	26597
1787676188.129963927	s6-eth4	27392	26597
1787676188.129963927	s7-eth1	700440684	1479638216
1787676188.129963927	s7-eth2	36939	1393369364
1787676188.129963927	s7-eth3	26597	36952
1787676188.129963927	s7-eth4	2185442741	26667
1787676188.129963927	s8-eth1	26597	24161
1787676188.129963927	s8-eth2	26667	26597
1787676188.129963927	s8-eth3	26667	24364
1787676188.129963927	s8-eth4	27392	26597
1787676188.129963927	s9-eth1	26667	37022
1787676188.129963927	s9-eth2	26597	26597
1787676188.129963927	s9-eth3	36952	26597
1787676188.129963927	s9-eth4	24364	26667
1787676190.827714992	s10-eth1	2195513010	27462
1787676190.827714992	s10-eth2	26597	27392
1787676190.827714992	s10-eth3	26667	2185442741
1787676190.827714992	s10-eth4	26597	27392
1787676190.827714992	s1-eth1	37048	3050464715
1787676190.827714992	s1-eth10	1702	5352
1787676190.827714992	s1-eth11	218877217	6606
1787676190.827714992	s1-eth12	1612	5352
1787676190.827714992	s1-eth13	1772	5352
1787676190.827714992	s1-eth14	1772	5352
1787676190.827714992	s1-eth15	218878713	6583
1787676190.827714992	s1-eth16	1702	5422
1787676190.827714992	s1-eth17	1702	5262
1787676190.827714992	s1-eth18	1702	5352
1787676190.827714992	s1-eth19	875502084	6582
1787676190.827714992	s1-eth2	26730	26667
1787676190.827714992	s1-eth20	1612	5191
1787676190.827714992	s1-eth21	1702	5352
1787676190.827714992	s1-eth22	1702	5352
1787676190.827714992	s1-eth23	218878660	6515
1787676190.827714992	s1-eth24	1702	5332
1787676190.827714992	s1-eth25	1772	5422
1787676190.827714992	s1-eth26	1702	5262
1787676190.827714992	s1-eth27	218878695	6683
1787676190.827714992	s1-eth28	1702	5352
1787676190.827714992	s1-eth29	1702	5422
1787676190.827714992	s1-eth3	875502047	6710
1787676190.827714992	s1-eth30	1612	5332
1787676190.827714992	s1-eth31	218878654	6684
1787676190.827714992	s1-eth32	1612	5262
1787676190.827714992	s1-eth33	1772	5422
1787676190.827714992	s1-eth34	1702	5262
1787676190.827714992	s1-eth4	1898	5458
1787676190.827714992	s1-eth5	1702	5101
1787676190.827714992	s1-eth6	1702	5422
1787676190.827714992	s1-eth7	218878812	6740
1787676190.827714992	s1-eth8	1612	5352
1787676190.827714992	s1-eth9	1702	5262
1787676190.827714992	s2-eth1	1495794360	700439169
1787676190.827714992	s2-eth10	1612	5372
1787676190.827714992	s2-eth11	218878584	6512
1787676190.827714992	s2-eth12	1612	5262
1787676190.827714992	s2-eth13	1772	5121
1787676190.827714992	s2-eth14	1772	5352
1787676190.827714992	s2-eth15	218878702	6675
1787676190.827714992	s2-eth16	1702	5262
1787676190.827714992	s2-eth17	1612	5352
1787676190.827714992	s2-eth18	1702	5332
1787676190.827714992	s2-eth19	3002	850775344
1787676190.827714992	s2-eth2	24434	26597
1787676190.827714992	s2-eth20	1702	5262
1787676190.827714992	s2-eth21	1612	5352
1787676190.827714992	s2-eth22	1682	5262
1787676190.827714992	s2-eth23	2865	214430696
1787676190.827714992	s2-eth24	1772	5312
1787676190.827714992	s2-eth25	1682	5352
1787676190.827714992	s2-eth26	1702	5332
1787676190.827714992	s2-eth27	3103	214283967
1787676190.827714992	s2-eth28	1772	5262
1787676190.827714992	s2-eth29	1612	5332
1787676190.827714992	s2-eth3	43779622	6805
1787676190.827714992	s2-eth30	1702	5242
1787676190.827714992	s2-eth31	2784	214195784
1787676190.827714992	s2-eth32	1452	5372
1787676190.827714992	s2-eth33	1612	5352
1787676190.827714992	s2-eth34	1682	5262
1787676190.827714992	s2-eth4	1702	5352
1787676190.827714992	s2-eth5	1612	5262
1787676190.827714992	s2-eth6	1612	5332
1787676190.827714992	s2-eth7	218877146	6586
1787676190.827714992	s2-eth8	1702	5332
1787676190.827714992	s2-eth9	1702	5262
1787676190.827714992	s3-eth1	1479638216	700440684
1787676190.827714992	s3-eth10	1682	5262
1787676190.827714992	s3-eth11	2706	211846741
1787676190.827714992	s3-eth12	1612	5352
1787676190.827714992	s3-eth13	1702	5422
1787676190.827714992	s3-eth14	1702	5422
1787676190.827714992	s3-eth15	3023	211813679
1787676190.827714992	s3-eth16	1452	5262
1787676190.827714992	s3-eth17	1772	5352
1787676190.827714992	s3-eth18	1772	5422
1787676190.827714992	s3-eth19	43779534	6629
1787676190.827714992	s3-eth2	24161	26597
1787676190.827714992	s3-eth20	1612	5332
1787676190.827714992	s3-eth21	1452	5222
1787676190.827714992	s3-eth22	1682	5262
1787676190.827714992	s3-eth23	218878804	6629
1787676190.827714992	s3-eth24	1452	5262
1787676190.827714992	s3-eth25	1612	5352
1787676190.827714992	s3-eth26	1452	5332
1787676190.827714992	s3-eth27	218878499	6514
1787676190.827714992	s3-eth28	1612	5352
1787676190.827714992	s3-eth29	1682	5332
1787676190.827714992	s3-eth3	2864	840505347
1787676190.827714992	s3-eth30	1682	5262
1787676190.827714992	s3-eth31	218878643	6578
1787676190.827714992	s3-eth32	1772	5332
1787676190.827714992	s3-eth33	1452	5262
1787676190.827714992	s3-eth34	1702	5332
1787676190.827714992	s3-eth4	1612	5422
1787676190.827714992	s3-eth5	1702	5262
1787676190.827714992	s3-eth6	1702	5352
1787676190.827714992	s3-eth7	3160	212057546
1787676190.827714992	s3-eth8	1452	5242
1787676190.827714992	s3-eth9	1772	5332
1787676190.827714992	s4-eth1	1393369364	36939
1787676190.827714992	s4-eth10	1682	5312
1787676190.827714992	s4-eth11	2702	216342782
1787676190.827714992	s4-eth12	1522	5382
1787676190.827714992	s4-eth13	1702	5262
1787676190.827714992	s4-eth14	1522	5262
1787676190.827714992	s4-eth15	2705	216337202
1787676190.827714992	s4-eth16	1612	5262
1787676190.827714992	s4-eth17	1612	5242
1787676190.827714992	s4-eth18	1682	5242
1787676190.827714992	s4-eth19	2999	43760022
1787676190.827714992	s4-eth2	26597	26667
1787676190.827714992	s4-eth20	1702	5312
1787676190.827714992	s4-eth21	1522	5262
1787676190.827714992	s4-eth22	1702	5382
1787676190.827714992	s4-eth23	2769	218748168
1787676190.827714992	s4-eth24	1452	5422
1787676190.827714992	s4-eth25	1612	5312
1787676190.827714992	s4-eth26	1452	5242
1787676190.827714992	s4-eth27	2774	218752369
1787676190.827714992	s4-eth28	1612	5262
1787676190.827714992	s4-eth29	1452	5332
1787676190.827714992	s4-eth3	2835	43272648
1787676190.827714992	s4-eth30	1452	5242
1787676190.827714992	s4-eth31	3088	218753955
1787676190.827714992	s4-eth32	1682	5312
1787676190.827714992	s4-eth33	1772	5242
1787676190.827714992	s4-eth34	1522	5422
1787676190.827714992	s4-eth4	1772	5262
1787676190.827714992	s4-eth5	1682	5312
1787676190.827714992	s4-eth6	1682	5242
1787676190.827714992	s4-eth7	2706	216430818
1787676190.827714992	s4-eth8	1612	5242
1787676190.827714992	s4-eth9	1612	5332
1787676190.827714992	s5-eth1	3050464715	37048
1787676190.827714992	s5-eth2	700439169	1495794360
1787676190.827714992	s5-eth3	37022	26667
1787676190.827714992	s5-eth4	27462	2195513010
1787676190.827714992	s6-eth1	26667	26730
1787676190.827714992	s6-eth2	26597	24434
1787676190.827714992	s6-eth3	26597	26597
1787676190.827714992	s6-eth4	27392	26597
1787676190.827714992	s7-eth1	700440684	1479638216
1787676190.827714992	s7-eth2	36939	1393369364
1787676190.827714992	s7-eth3	26597	36952
1787676190.827714992	s7-eth4	2185442741	26667
1787676190.827714992	s8-eth1	26597	24161
1787676190.827714992	s8-eth2	26667	26597
1787676190.827714992	s8-eth3	26667	24364
1787676190.827714992	s8-eth4	27392	26597
1787676190.827714992	s9-eth1	26667	37022
1787676190.827714992	s9-eth2	26597	26597
1787676190.827714992	s9-eth3	36952	26597
1787676190.827714992	s9-eth4	24364	26667
1787676193.463730732	s10-eth1	2195513037	27490
1787676193.463730732	s10-eth2	26624	27420
1787676193.463730732	s10-eth3	26694	2185442769
1787676193.463730732	s10-eth4	26624	27420
1787676193.463730732	s1-eth1	37075	3050464742
1787676193.463730732	s1-eth10	1702	5352
1787676193.463730732	s1-eth11	218877217	6606
1787676193.463730732	s1-eth12	1612	5352
1787676193.463730732	s1-eth13	1772	5352
1787676193.463730732	s1-eth14	1772	5352
1787676193.463730732	s1-eth15	218878713	6583
1787676193.463730732	s1-eth16	1702	5422
1787676193.463730732	s1-eth17	1702	5262
1787676193.463730732	s1-eth18	1702	5352
1787676193.463730732	s1-eth19	875502084	6582
1787676193.463730732	s1-eth2	26757	26694
1787676193.463730732	s1-eth20	1612	5191
1787676193.463730732	s1-eth21	1702	5352
1787676193.463730732	s1-eth22	1702	5352
1787676193.463730732	s1-eth23	218878660	6515
1787676193.463730732	s1-eth24	1702	5332
1787676193.463730732	s1-eth25	1772	5422
1787676193.463730732	s1-eth26	1702	5262
1787676193.463730732	s1-eth27	218878695	6683
1787676193.463730732	s1-eth28	1702	5352
1787676193.463730732	s1-eth29	1702	5422
1787676193.463730732	s1-eth3	875502047	6710
1787676193.463730732	s1-eth30	1612	5332
1787676193.463730732	s1-eth31	218878654	6684
1787676193.463730732	s1-eth32	1612	5262
1787676193.463730732	s1-eth33	1772	5422
1787676193.463730732	s1-eth34	1702	5262
1787676193.463730732	s1-eth4	1898	5458
1787676193.463730732	s1-eth5	1702	5101
1787676193.463730732	s1-eth6	1702	5422
1787676193.463730732	s1-eth7	218878812	6740
1787676193.463730732	s1-eth8	1612	5352
1787676193.463730732	s1-eth9	1702	5262
1787676193.463730732	s2-eth1	1495794387	700439196
1787676193.463730732	s2-eth10	1612	5372
1787676193.463730732	s2-eth11	218878584	6512
1787676193.463730732	s2-eth12	1612	5262
1787676193.463730732	s2-eth13	1772	5121
1787676193.463730732	s2-eth14	1772	5352
1787676193.463730732	s2-eth15	218878702	6675
1787676193.463730732	s2-eth16	1702	5262
1787676193.463730732	s2-eth17	1612	5352
1787676193.463730732	s2-eth18	1702	5332
1787676193.463730732	s2-eth19	3002	850775344
1787676193.463730732	s2-eth2	24461	26624
1787676193.463730732	s2-eth20	1702	5262
1787676193.463730732	s2-eth21	1612	5352
1787676193.463730732	s2-eth22	1682	5262
1787676193.463730732	s2-eth23	2865	214430696
1787676193.463730732	s2-eth24	1772	5312
1787676193.463730732	s2-eth25	1682	5352
1787676193.463730732	s2-eth26	1702	5332
1787676193.463730732	s2-eth27	3103	214283967
1787676193.463730732	s2-eth28	1772	5262
1787676193.463730732	s2-eth29	1612	5332
1787676193.463730732	s2-eth3	43779622	6805
1787676193.463730732	s2-eth30	1702	5242
1787676193.463730732	s2-eth31	2784	214195784
1787676193.463730732	s2-eth32	1452	5372
1787676193.463730732	s2-eth33	1612	5352
1787676193.463730732	s2-eth34	1682	5262
1787676193.463730732	s2-eth4	1702	5352
1787676193.463730732	s2-eth5	1612	5262
1787676193.463730732	s2-eth6	1612	5332
1787676193.463730732	s2-eth7	218877146	6586
1787676193.463730732	s2-eth8	1702	5332
1787676193.463730732	s2-eth9	1702	5262
1787676193.463730732	s3-eth1	1479638243	700440711
1787676193.463730732	s3-eth10	1682	5262
1787676193.463730732	s3-eth11	2706	211846741
1787676193.463730732	s3-eth12	1612	5352
1787676193.463730732	s3-eth13	1702	5422
1787676193.463730732	s3-eth14	1702	5422
1787676193.463730732	s3-eth15	3023	211813679
1787676193.463730732	s3-eth16	1452	5262
1787676193.463730732	s3-eth17	1772	5352
1787676193.463730732	s3-eth18	1772	5422
1787676193.463730732	s3-eth19	43779534	6629
1787676193.463730732	s3-eth2	24188	26624
1787676193.463730732	s3-eth20	1612	5332
1787676193.463730732	s3-eth21	1452	5222
1787676193.463730732	s3-eth22	1682	5262
1787676193.463730732	s3-eth23	218878804	6629
1787676193.463730732	s3-eth24	1452	5262
1787676193.463730732	s3-eth25	1612	5352
1787676193.463730732	s3-eth26	1452	5332
1787676193.463730732	s3-eth27	218878499	6514
1787676193.463730732	s3-eth28	1612	5352
1787676193.463730732	s3-eth29	1682	5332
1787676193.463730732	s3-eth3	2864	840505347
1787676193.463730732	s3-eth30	1682	5262
1787676193.463730732	s3-eth31	218878643	6578
1787676193.463730732	s3-eth32	1772	5332
1787676193.463730732	s3-eth33	1452	5262
1787676193.463730732	s3-eth34	1702	5332
1787676193.463730732	s3-eth4	1612	5422
1787676193.463730732	s3-eth5	1702	5262
1787676193.463730732	s3-eth6	1702	5352
1787676193.463730732	s3-eth7	3160	212057546
1787676193.463730732	s3-eth8	1452	5242
1787676193.463730732	s3-eth9	1772	5332
1787676193.463730732	s4-eth1	1393369391	36966
1787676193.463730732	s4-eth10	1682	5312
1787676193.463730732	s4-eth11	2702	216342782
1787676193.463730732	s4-eth12	1522	5382
1787676193.463730732	s4-eth13	1702	5262
1787676193.463730732	s4-eth14	1522	5262
1787676193.463730732	s4-eth15	2705	216337202
1787676193.463730732	s4-eth16	1612	5262
1787676193.463730732	s4-eth17	1612	5242
1787676193.463730732	s4-eth18	1682	5242
1787676193.463730732	s4-eth19	2999	43760022
1787676193.463730732	s4-eth2	26624	26694
1787676193.463730732	s4-eth20	1702	5312
1787676193.463730732	s4-eth21	1522	5262
1787676193.463730732	s4-eth22	1702	5382
1787676193.463730732	s4-eth23	2769	218748168
1787676193.463730732	s4-eth24	1452	5422
1787676193.463730732	s4-eth25	1612	5312
1787676193.463730732	s4-eth26	1452	5242
1787676193.463730732	s4-eth27	2774	218752369
1787676193.463730732	s4-eth28	1612	5262
1787676193.463730732	s4-eth29	1452	5332
1787676193.463730732	s4-eth3	2835	43272648
1787676193.463730732	s4-eth30	1452	5242
1787676193.463730732	s4-eth31	3088	218753955
1787676193.463730732	s4-eth32	1682	5312
1787676193.463730732	s4-eth33	1772	5242
1787676193.463730732	s4-eth34	1522	5422
1787676193.463730732	s4-eth4	1772	5262
1787676193.463730732	s4-eth5	1682	5312
1787676193.463730732	s4-eth6	1682	5242
1787676193.463730732	s4-eth7	2706	216430818
1787676193.463730732	s4-eth8	1612	5242
1787676193.463730732	s4-eth9	1612	5332
1787676193.463730732	s5-eth1	3050464742	37075
1787676193.463730732	s5-eth2	700439196	1495794387
1787676193.463730732	s5-eth3	37049	26694
1787676193.463730732	s5-eth4	27490	2195513037
1787676193.463730732	s6-eth1	26694	26757
1787676193.463730732	s6-eth2	26624	24461
1787676193.463730732	s6-eth3	26624	26624
1787676193.463730732	s6-eth4	27420	26624
1787676193.463730732	s7-eth1	700440711	1479638243
1787676193.463730732	s7-eth2	36966	1393369391
1787676193.463730732	s7-eth3	26624	36979
1787676193.463730732	s7-eth4	2185442769	26694
1787676193.463730732	s8-eth1	26624	24188
1787676193.463730732	s8-eth2	26694	26624
1787676193.463730732	s8-eth3	26694	24391
1787676193.463730732	s8-eth4	27420	26624
1787676193.463730732	s9-eth1	26694	37049
1787676193.463730732	s9-eth2	26624	26624
1787676193.463730732	s9-eth3	36979	26624
1787676193.463730732	s9-eth4	24391	26694
1787676196.164723656	s10-eth1	2195513037	27490
1787676196.164723656	s10-eth2	26624	27420
1787676196.164723656	s10-eth3	26694	2185442769
1787676196.164723656	s10-eth4	26624	27420
1787676196.164723656	s1-eth1	37075	3050464742
1787676196.164723656	s1-eth10	1702	5352
1787676196.164723656	s1-eth11	218877217	6606
1787676196.164723656	s1-eth12	1612	5352
1787676196.164723656	s1-eth13	1772	5352
1787676196.164723656	s1-eth14	1772	5352
1787676196.164723656	s1-eth15	218878713	6583
1787676196.164723656	s1-eth16	1702	5422
1787676196.164723656	s1-eth17	1702	5262
1787676196.164723656	s1-eth18	1702	5352
1787676196.164723656	s1-eth19	875502084	6582
1787676196.164723656	s1-eth2	26757	26694
1787676196.164723656	s1-eth20	1612	5191
1787676196.164723656	s1-eth21	1702	5352
1787676196.164723656	s1-eth22	1702	5352
1787676196.164723656	s1-eth23	218878660	6515
1787676196.164723656	s1-eth24	1702	5332
1787676196.164723656	s1-eth25	1772	5422
1787676196.164723656	s1-eth26	1702	5262
1787676196.164723656	s1-eth27	218878695	6683
1787676196.164723656	s1-eth28	1702	5352
1787676196.164723656	s1-eth29	1702	5422
1787676196.164723656	s1-eth3	875502047	6710
1787676196.164723656	s1-eth30	1612	5332
1787676196.164723656	s1-eth31	218878654	6684
1787676196.164723656	s1-eth32	1612	5262
1787676196.164723656	s1-eth33	1772	5422
1787676196.164723656	s1-eth34	1702	5262
1787676196.164723656	s1-eth4	1898	5458
1787676196.164723656	s1-eth5	1702	5101
1787676196.164723656	s1-eth6	1702	5422
1787676196.164723656	s1-eth7	218878812	6740
1787676196.164723656	s1-eth8	1612	5352
1787676196.164723656	s1-eth9	1702	5262
1787676196.164723656	s2-eth1	1495794387	700439196
1787676196.164723656	s2-eth10	1612	5372
1787676196.164723656	s2-eth11	218878584	6512
1787676196.164723656	s2-eth12	1612	5262
1787676196.164723656	s2-eth13	1772	5121
1787676196.164723656	s2-eth14	1772	5352
1787676196.164723656	s2-eth15	218878702	6675
1787676196.164723656	s2-eth16	1702	5262
1787676196.164723656	s2-eth17	1612	5352
1787676196.164723656	s2-eth18	1702	5332
1787676196.164723656	s2-eth19	3002	850775344
1787676196.164723656	s2-eth2	24461	26624
1787676196.164723656	s2-eth20	1702	5262
1787676196.164723656	s2-eth21	1612	5352
1787676196.164723656	s2-eth22	1682	5262
1787676196.164723656	s2-eth23	2865	214430696
1787676196.164723656	s2-eth24	1772	5312
1787676196.164723656	s2-eth25	1682	5352
1787676196.164723656	s2-eth26	1702	5332
1787676196.164723656	s2-eth27	3103	214283967
1787676196.164723656	s2-eth28	1772	5262
1787676196.164723656	s2-eth29	1612	5332
1787676196.164723656	s2-eth3	43779622	6805
1787676196.164723656	s2-eth30	1702	5242
1787676196.164723656	s2-eth31	2784	214195784
1787676196.164723656	s2-eth32	1452	5372
1787676196.164723656	s2-eth33	1612	5352
1787676196.164723656	s2-eth34	1682	5262
1787676196.164723656	s2-eth4	1702	5352
1787676196.164723656	s2-eth5	1612	5262
1787676196.164723656	s2-eth6	1612	5332
1787676196.164723656	s2-eth7	218877146	6586
1787676196.164723656	s2-eth8	1702	5332
1787676196.164723656	s2-eth9	1702	5262
1787676196.164723656	s3-eth1	1479638243	700440711
1787676196.164723656	s3-eth10	1682	5262
1787676196.164723656	s3-eth11	2706	211846741
1787676196.164723656	s3-eth12	1612	5352
1787676196.164723656	s3-eth13	1702	5422
1787676196.164723656	s3-eth14	1702	5422
1787676196.164723656	s3-eth15	3023	211813679
1787676196.164723656	s3-eth16	1452	5262
1787676196.164723656	s3-eth17	1772	5352
1787676196.164723656	s3-eth18	1772	5422
1787676196.164723656	s3-eth19	43779534	6629
1787676196.164723656	s3-eth2	24188	26624
1787676196.164723656	s3-eth20	1612	5332
1787676196.164723656	s3-eth21	1452	5222
1787676196.164723656	s3-eth22	1682	5262
1787676196.164723656	s3-eth23	218878804	6629
1787676196.164723656	s3-eth24	1452	5262
1787676196.164723656	s3-eth25	1612	5352
1787676196.164723656	s3-eth26	1452	5332
1787676196.164723656	s3-eth27	218878499	6514
1787676196.164723656	s3-eth28	1612	5352
1787676196.164723656	s3-eth29	1682	5332
1787676196.164723656	s3-eth3	2864	840505347
1787676196.164723656	s3-eth30	1682	5262
1787676196.164723656	s3-eth31	218878643	6578
1787676196.164723656	s3-eth32	1772	5332
1787676196.164723656	s3-eth33	1452	5262
1787676196.164723656	s3-eth34	1702	5332
1787676196.164723656	s3-eth4	1612	5422
1787676196.164723656	s3-eth5	1702	5262
1787676196.164723656	s3-eth6	1702	5352
1787676196.164723656	s3-eth7	3160	212057546
1787676196.164723656	s3-eth8	1452	5242
1787676196.164723656	s3-eth9	1772	5332
1787676196.164723656	s4-eth1	1393369391	36966
1787676196.164723656	s4-eth10	1682	5312
1787676196.164723656	s4-eth11	2702	216342782
1787676196.164723656	s4-eth12	1522	5382
1787676196.164723656	s4-eth13	1702	5262
1787676196.164723656	s4-eth14	1522	5262
1787676196.164723656	s4-eth15	2705	216337202
1787676196.164723656	s4-eth16	1612	5262
1787676196.164723656	s4-eth17	1612	5242
1787676196.164723656	s4-eth18	1682	5242
1787676196.164723656	s4-eth19	2999	43760022
1787676196.164723656	s4-eth2	26624	26694
1787676196.164723656	s4-eth20	1702	5312
1787676196.164723656	s4-eth21	1522	5262
1787676196.164723656	s4-eth22	1702	5382
1787676196.164723656	s4-eth23	2769	218748168
1787676196.164723656	s4-eth24	1452	5422
1787676196.164723656	s4-eth25	1612	5312
1787676196.164723656	s4-eth26	1452	5242
1787676196.164723656	s4-eth27	2774	218752369
1787676196.164723656	s4-eth28	1612	5262
1787676196.164723656	s4-eth29	1452	5332
1787676196.164723656	s4-eth3	2835	43272648
1787676196.164723656	s4-eth30	1452	5242
1787676196.164723656	s4-eth31	3088	218753955
1787676196.164723656	s4-eth32	1682	5312
1787676196.164723656	s4-eth33	1772	5242
1787676196.164723656	s4-eth34	1522	5422
1787676196.164723656	s4-eth4	1772	5262
1787676196.164723656	s4-eth5	1682	5312
1787676196.164723656	s4-eth6	1682	5242
1787676196.164723656	s4-eth7	2706	216430818
1787676196.164723656	s4-eth8	1612	5242
1787676196.164723656	s4-eth9	1612	5332
1787676196.164723656	s5-eth1	3050464742	37075
1787676196.164723656	s5-eth2	700439196	1495794387
1787676196.164723656	s5-eth3	37049	26694
1787676196.164723656	s5-eth4	27490	2195513037
1787676196.164723656	s6-eth1	26694	26757
1787676196.164723656	s6-eth2	26624	24461
1787676196.164723656	s6-eth3	26624	26624
1787676196.164723656	s6-eth4	27420	26624
1787676196.164723656	s7-eth1	700440711	1479638243
1787676196.164723656	s7-eth2	36966	1393369391
1787676196.164723656	s7-eth3	26624	36979
1787676196.164723656	s7-eth4	2185442769	26694
1787676196.164723656	s8-eth1	26624	24188
1787676196.164723656	s8-eth2	26694	26624
1787676196.164723656	s8-eth3	26694	24391
1787676196.164723656	s8-eth4	27420	26624
1787676196.164723656	s9-eth1	26694	37049
1787676196.164723656	s9-eth2	26624	26624
1787676196.164723656	s9-eth3	36979	26624
1787676196.164723656	s9-eth4	24391	26694
1787676198.881359280	s10-eth1	2195513064	27518
1787676198.881359280	s10-eth2	26651	27448
1787676198.881359280	s10-eth3	26721	2185442797
1787676198.881359280	s10-eth4	26651	27448
1787676198.881359280	s1-eth1	37102	3050464769
1787676198.881359280	s1-eth10	1702	5352
1787676198.881359280	s1-eth11	218877217	6606
1787676198.881359280	s1-eth12	1612	5352
1787676198.881359280	s1-eth13	1772	5352
1787676198.881359280	s1-eth14	1772	5352
1787676198.881359280	s1-eth15	218878713	6583
1787676198.881359280	s1-eth16	1702	5422
1787676198.881359280	s1-eth17	1702	5262
1787676198.881359280	s1-eth18	1702	5352
1787676198.881359280	s1-eth19	875502084	6582
1787676198.881359280	s1-eth2	26784	26721
1787676198.881359280	s1-eth20	1612	5191
1787676198.881359280	s1-eth21	1702	5352
1787676198.881359280	s1-eth22	1702	5352
1787676198.881359280	s1-eth23	218878660	6515
1787676198.881359280	s1-eth24	1702	5332
1787676198.881359280	s1-eth25	1772	5422
1787676198.881359280	s1-eth26	1702	5262
1787676198.881359280	s1-eth27	218878695	6683
1787676198.881359280	s1-eth28	1702	5352
1787676198.881359280	s1-eth29	1702	5422
1787676198.881359280	s1-eth3	875502047	6710
1787676198.881359280	s1-eth30	1612	5332
1787676198.881359280	s1-eth31	218878654	6684
1787676198.881359280	s1-eth32	1612	5262
1787676198.881359280	s1-eth33	1772	5422
1787676198.881359280	s1-eth34	1702	5262
1787676198.881359280	s1-eth4	1898	5458
1787676198.881359280	s1-eth5	1702	5101
1787676198.881359280	s1-eth6	1702	5422
1787676198.881359280	s1-eth7	218878812	6740
1787676198.881359280	s1-eth8	1612	5352
1787676198.881359280	s1-eth9	1702	5262
1787676198.881359280	s2-eth1	1495794414	700439223
1787676198.881359280	s2-eth10	1612	5372
1787676198.881359280	s2-eth11	218878584	6512
1787676198.881359280	s2-eth12	1612	5262
1787676198.881359280	s2-eth13	1772	5121
1787676198.881359280	s2-eth14	1772	5352
1787676198.881359280	s2-eth15	218878702	6675
1787676198.881359280	s2-eth16	1702	5262
1787676198.881359280	s2-eth17	1612	5352
1787676198.881359280	s2-eth18	1702	5332
1787676198.881359280	s2-eth19	3002	850775344
1787676198.881359280	s2-eth2	24488	26651
1787676198.881359280	s2-eth20	1702	5262
1787676198.881359280	s2-eth21	1612	5352
1787676198.881359280	s2-eth22	1682	5262
1787676198.881359280	s2-eth23	2865	214430696
1787676198.881359280	s2-eth24	1772	5312
1787676198.881359280	s2-eth25	1682	5352
1787676198.881359280	s2-eth26	1702	5332
1787676198.881359280	s2-eth27	3103	214283967
1787676198.881359280	s2-eth28	1772	5262
1787676198.881359280	s2-eth29	1612	5332
1787676198.881359280	s2-eth3	43779622	6805
1787676198.881359280	s2-eth30	1702	5242
1787676198.881359280	s2-eth31	2784	214195784
1787676198.881359280	s2-eth32	1452	5372
1787676198.881359280	s2-eth33	1612	5352
1787676198.881359280	s2-eth34	1682	5262
1787676198.881359280	s2-eth4	1702	5352
1787676198.881359280	s2-eth5	1612	5262
1787676198.881359280	s2-eth6	1612	5332
1787676198.881359280	s2-eth7	218877146	6586
1787676198.881359280	s2-eth8	1702	5332
1787676198.881359280	s2-eth9	1702	5262
