ts	iface	rx_bytes	tx_bytes
1787802789.508087601	s4-eth7	2809	38545168
1787802789.508087601	s4-eth8	1562	4806
1787802789.508087601	s4-eth9	1562	4806
1787802789.508087601	s5-eth1	540659494	18850
1787802789.508087601	s5-eth2	123622432	268727773
1787802789.508087601	s5-eth3	8015	6005
1787802789.508087601	s5-eth4	19052	392416338
1787802789.508087601	s6-eth1	8015	5985
1787802789.508087601	s6-eth2	8015	8015
1787802789.508087601	s6-eth3	8015	5985
1787802789.508087601	s6-eth4	8142	8015
1787802789.508087601	s7-eth1	123622543	268029423
1787802789.508087601	s7-eth2	18500	246924719
1787802789.508087601	s7-eth3	6188	8015
1787802789.508087601	s7-eth4	391825245	18925
1787802789.508087601	s8-eth1	8015	6188
1787802789.508087601	s8-eth2	8015	8015
1787802789.508087601	s8-eth3	8015	8015
1787802789.508087601	s8-eth4	8142	8015
1787802789.508087601	s9-eth1	6005	8015
1787802789.508087601	s9-eth2	5985	8015
1787802789.508087601	s9-eth3	8015	6188
1787802789.508087601	s9-eth4	8015	8015
1787802792.163559677	s10-eth1	392416338	19052
1787802792.163559677	s10-eth2	8015	8142
1787802792.163559677	s10-eth3	18925	391825245
1787802792.163559677	s10-eth4	8015	8142
1787802792.163559677	s1-eth1	18850	540659494
1787802792.163559677	s1-eth10	1562	4806
1787802792.163559677	s1-eth11	38629165	6343
1787802792.163559677	s1-eth12	1562	4806
1787802792.163559677	s1-eth13	1562	4911
1787802792.163559677	s1-eth14	1562	4806
1787802792.163559677	s1-eth15	38629165	6341
1787802792.163559677	s1-eth16	1562	4806
1787802792.163559677	s1-eth17	1562	4806
1787802792.163559677	s1-eth18	1562	4806
1787802792.163559677	s1-eth19	154501866	6134
1787802792.163559677	s1-eth2	5985	8015
1787802792.163559677	s1-eth20	1562	4806
1787802792.163559677	s1-eth21	1562	4806
1787802792.163559677	s1-eth22	1562	4806
1787802792.163559677	s1-eth23	38628639	6134
1787802792.163559677	s1-eth24	1562	4806
1787802792.163559677	s1-eth25	1562	4806
1787802792.163559677	s1-eth26	1562	4806
1787802792.163559677	s1-eth27	38627146	6201
1787802792.163559677	s1-eth28	1562	4806
1787802792.163559677	s1-eth29	1562	4806
1787802792.163559677	s1-eth3	154501930	6056
1787802792.163559677	s1-eth30	1562	4806
1787802792.163559677	s1-eth31	38628522	6121
1787802792.163559677	s1-eth32	1562	4806
1787802792.163559677	s1-eth33	1562	4806
1787802792.163559677	s1-eth34	1562	4806
1787802792.163559677	s1-eth4	1562	4806
1787802792.163559677	s1-eth5	1562	4806
1787802792.163559677	s1-eth6	1562	4806
1787802792.163559677	s1-eth7	38628576	6051
1787802792.163559677	s1-eth8	1562	4806
1787802792.163559677	s1-eth9	1562	4806
1787802792.163559677	s2-eth1	268727773	123622432
1787802792.163559677	s2-eth10	1562	4806
1787802792.163559677	s2-eth11	38628795	6200
1787802792.163559677	s2-eth12	1562	4806
1787802792.163559677	s2-eth13	1562	4806
1787802792.163559677	s2-eth14	1562	4806
1787802792.163559677	s2-eth15	38628444	6053
1787802792.163559677	s2-eth16	1562	4806
1787802792.163559677	s2-eth17	1562	4806
1787802792.163559677	s2-eth18	1562	4806
1787802792.163559677	s2-eth19	2890	153204426
1787802792.163559677	s2-eth2	8015	8015
1787802792.163559677	s2-eth20	1562	4806
1787802792.163559677	s2-eth21	1562	4806
1787802792.163559677	s2-eth22	1562	4806
1787802792.163559677	s2-eth23	2890	38415583
1787802792.163559677	s2-eth24	1562	4806
1787802792.163559677	s2-eth25	1562	4806
1787802792.163559677	s2-eth26	1562	4806
1787802792.163559677	s2-eth27	2957	38435720
1787802792.163559677	s2-eth28	1562	4806
1787802792.163559677	s2-eth29	1562	4587
1787802792.163559677	s2-eth3	7729616	6194
1787802792.163559677	s2-eth30	1562	4806
1787802792.163559677	s2-eth31	2877	38439980
1787802792.163559677	s2-eth32	1562	4806
1787802792.163559677	s2-eth33	1562	4806
1787802792.163559677	s2-eth34	1562	4806
1787802792.163559677	s2-eth4	1562	4806
1787802792.163559677	s2-eth5	1562	4806
1787802792.163559677	s2-eth6	1562	4806
1787802792.163559677	s2-eth7	38628444	5834
1787802792.163559677	s2-eth8	1562	4806
1787802792.163559677	s2-eth9	1562	4806
1787802792.163559677	s3-eth1	268029423	123622543
1787802792.163559677	s3-eth10	1562	4603
1787802792.163559677	s3-eth11	3099	38338241
1787802792.163559677	s3-eth12	1562	4806
1787802792.163559677	s3-eth13	1562	4806
1787802792.163559677	s3-eth14	1562	4806
1787802792.163559677	s3-eth15	3097	38351219
1787802792.163559677	s3-eth16	1562	4806
1787802792.163559677	s3-eth17	1562	4806
1787802792.163559677	s3-eth18	1562	4806
1787802792.163559677	s3-eth19	7729604	6130
1787802792.163559677	s3-eth2	6188	8015
1787802792.163559677	s3-eth20	1562	4806
1787802792.163559677	s3-eth21	1562	4806
1787802792.163559677	s3-eth22	1562	4806
1787802792.163559677	s3-eth23	38628651	6128
1787802792.163559677	s3-eth24	1562	4806
1787802792.163559677	s3-eth25	1562	4806
1787802792.163559677	s3-eth26	1562	4806
1787802792.163559677	s3-eth27	38628578	6054
1787802792.163559677	s3-eth28	1562	4806
1787802792.163559677	s3-eth29	1562	4806
1787802792.163559677	s3-eth3	2812	152923300
1787802792.163559677	s3-eth30	1562	4806
1787802792.163559677	s3-eth31	38628446	6054
1787802792.163559677	s3-eth32	1562	4806
1787802792.163559677	s3-eth33	1562	4806
1787802792.163559677	s3-eth34	1562	4736
1787802792.163559677	s3-eth4	1562	4806
1787802792.163559677	s3-eth5	1562	4806
1787802792.163559677	s3-eth6	1562	4806
1787802792.163559677	s3-eth7	2807	38359282
1787802792.163559677	s3-eth8	1562	4806
1787802792.163559677	s3-eth9	1562	4806
1787802792.163559677	s4-eth1	246924719	18500
1787802792.163559677	s4-eth10	1562	4806
1787802792.163559677	s4-eth11	2956	38529657
1787802792.163559677	s4-eth12	1562	4806
1787802792.163559677	s4-eth13	1562	4806
1787802792.163559677	s4-eth14	1562	4806
1787802792.163559677	s4-eth15	2876	38532190
1787802792.163559677	s4-eth16	1562	4806
1787802792.163559677	s4-eth17	1562	4716
1787802792.163559677	s4-eth18	1562	4806
1787802792.163559677	s4-eth19	2886	7731406
1787802792.163559677	s4-eth2	8015	8015
1787802792.163559677	s4-eth20	1562	4806
1787802792.163559677	s4-eth21	1562	4806
1787802792.163559677	s4-eth22	1562	4926
1787802792.163559677	s4-eth23	2884	38620359
1787802792.163559677	s4-eth24	1562	4806
1787802792.163559677	s4-eth25	1562	4806
1787802792.163559677	s4-eth26	1472	4806
1787802792.163559677	s4-eth27	2810	38621728
1787802792.163559677	s4-eth28	1562	4806
1787802792.163559677	s4-eth29	1562	4806
1787802792.163559677	s4-eth3	2950	7714114
1787802792.163559677	s4-eth30	1562	4806
1787802792.163559677	s4-eth31	2720	38621506
1787802792.163559677	s4-eth32	1562	4806
1787802792.163559677	s4-eth33	1562	4806
1787802792.163559677	s4-eth34	1562	4806
1787802792.163559677	s4-eth4	1562	4806
1787802792.163559677	s4-eth5	1562	4806
1787802792.163559677	s4-eth6	1562	4602
1787802792.163559677	s4-eth7	2809	38545168
1787802792.163559677	s4-eth8	1562	4806
1787802792.163559677	s4-eth9	1562	4806
1787802792.163559677	s5-eth1	540659494	18850
1787802792.163559677	s5-eth2	123622432	268727773
1787802792.163559677	s5-eth3	8015	6005
1787802792.163559677	s5-eth4	19052	392416338
1787802792.163559677	s6-eth1	8015	5985
1787802792.163559677	s6-eth2	8015	8015
1787802792.163559677	s6-eth3	8015	5985
1787802792.163559677	s6-eth4	8142	8015
1787802792.163559677	s7-eth1	123622543	268029423
1787802792.163559677	s7-eth2	18500	246924719
1787802792.163559677	s7-eth3	6188	8015
1787802792.163559677	s7-eth4	391825245	18925
1787802792.163559677	s8-eth1	8015	6188
1787802792.163559677	s8-eth2	8015	8015
1787802792.163559677	s8-eth3	8015	8015
1787802792.163559677	s8-eth4	8142	8015
1787802792.163559677	s9-eth1	6005	8015
1787802792.163559677	s9-eth2	5985	8015
1787802792.163559677	s9-eth3	8015	6188
1787802792.163559677	s9-eth4	8015	8015
1787802794.826665995	s10-eth1	392416365	19080
1787802794.826665995	s10-eth2	8042	8170
1787802794.826665995	s10-eth3	18952	391825273
1787802794.826665995	s10-eth4	8042	8170
1787802794.826665995	s1-eth1	18877	540659521
1787802794.826665995	s1-eth10	1562	4806
1787802794.826665995	s1-eth11	38629165	6343
1787802794.826665995	s1-eth12	1562	4806
1787802794.826665995	s1-eth13	1562	4911
1787802794.826665995	s1-eth14	1562	4806
1787802794.826665995	s1-eth15	38629165	6341
1787802794.826665995	s1-eth16	1562	4806
1787802794.826665995	s1-eth17	1562	4806
1787802794.826665995	s1-eth18	1562	4806
1787802794.826665995	s1-eth19	154501866	6134
1787802794.826665995	s1-eth2	6012	8042
1787802794.826665995	s1-eth20	1562	4806
1787802794.826665995	s1-eth21	1562	4806
1787802794.826665995	s1-eth22	1562	4806
1787802794.826665995	s1-eth23	38628639	6134
1787802794.826665995	s1-eth24	1562	4806
1787802794.826665995	s1-eth25	1562	4806
1787802794.826665995	s1-eth26	1562	4806
1787802794.826665995	s1-eth27	38627146	6201
1787802794.826665995	s1-eth28	1562	4806
1787802794.826665995	s1-eth29	1562	4806
1787802794.826665995	s1-eth3	154501930	6056
1787802794.826665995	s1-eth30	1562	4806
1787802794.826665995	s1-eth31	38628522	6121
1787802794.826665995	s1-eth32	1562	4806
1787802794.826665995	s1-eth33	1562	4806
1787802794.826665995	s1-eth34	1562	4806
1787802794.826665995	s1-eth4	1562	4806
1787802794.826665995	s1-eth5	1562	4806
1787802794.826665995	s1-eth6	1562	4806
1787802794.826665995	s1-eth7	38628576	6051
1787802794.826665995	s1-eth8	1562	4806
1787802794.826665995	s1-eth9	1562	4806
1787802794.826665995	s2-eth1	268727800	123622459
1787802794.826665995	s2-eth10	1562	4806
1787802794.826665995	s2-eth11	38628795	6200
1787802794.826665995	s2-eth12	1562	4806
1787802794.826665995	s2-eth13	1562	4806
1787802794.826665995	s2-eth14	1562	4806
1787802794.826665995	s2-eth15	38628444	6053
1787802794.826665995	s2-eth16	1562	4806
1787802794.826665995	s2-eth17	1562	4806
1787802794.826665995	s2-eth18	1562	4806
1787802794.826665995	s2-eth19	2890	153204426
1787802794.826665995	s2-eth2	8042	8042
1787802794.826665995	s2-eth20	1562	4806
1787802794.826665995	s2-eth21	1562	4806
1787802794.826665995	s2-eth22	1562	4806
1787802794.826665995	s2-eth23	2890	38415583
1787802794.826665995	s2-eth24	1562	4806
1787802794.826665995	s2-eth25	1562	4806
1787802794.826665995	s2-eth26	1562	4806
1787802794.826665995	s2-eth27	2957	38435720
1787802794.826665995	s2-eth28	1562	4806
1787802794.826665995	s2-eth29	1562	4587
1787802794.826665995	s2-eth3	7729616	6194
1787802794.826665995	s2-eth30	1562	4806
1787802794.826665995	s2-eth31	2877	38439980
1787802794.826665995	s2-eth32	1562	4806
1787802794.826665995	s2-eth33	1562	4806
1787802794.826665995	s2-eth34	1562	4806
1787802794.826665995	s2-eth4	1562	4806
1787802794.826665995	s2-eth5	1562	4806
1787802794.826665995	s2-eth6	1562	4806
1787802794.826665995	s2-eth7	38628444	5834
1787802794.826665995	s2-eth8	1562	4806
1787802794.826665995	s2-eth9	1562	4806
1787802794.826665995	s3-eth1	268029450	123622570
1787802794.826665995	s3-eth10	1562	4603
1787802794.826665995	s3-eth11	3099	38338241
1787802794.826665995	s3-eth12	1562	4806
1787802794.826665995	s3-eth13	1562	4806
1787802794.826665995	s3-eth14	1562	4806
1787802794.826665995	s3-eth15	3097	38351219
1787802794.826665995	s3-eth16	1562	4806
1787802794.826665995	s3-eth17	1562	4806
1787802794.826665995	s3-eth18	1562	4806
1787802794.826665995	s3-eth19	7729604	6130
1787802794.826665995	s3-eth2	6215	8042
1787802794.826665995	s3-eth20	1562	4806
1787802794.826665995	s3-eth21	1562	4806
1787802794.826665995	s3-eth22	1562	4806
1787802794.826665995	s3-eth23	38628651	6128
1787802794.826665995	s3-eth24	1562	4806
1787802794.826665995	s3-eth25	1562	4806
1787802794.826665995	s3-eth26	1562	4806
1787802794.826665995	s3-eth27	38628578	6054
1787802794.826665995	s3-eth28	1562	4806
1787802794.826665995	s3-eth29	1562	4806
1787802794.826665995	s3-eth3	2812	152923300
1787802794.826665995	s3-eth30	1562	4806
1787802794.826665995	s3-eth31	38628446	6054
1787802794.826665995	s3-eth32	1562	4806
1787802794.826665995	s3-eth33	1562	4806
1787802794.826665995	s3-eth34	1562	4736
1787802794.826665995	s3-eth4	1562	4806
1787802794.826665995	s3-eth5	1562	4806
1787802794.826665995	s3-eth6	1562	4806
1787802794.826665995	s3-eth7	2807	38359282
1787802794.826665995	s3-eth8	1562	4806
1787802794.826665995	s3-eth9	1562	4806
1787802794.826665995	s4-eth1	246924746	18527
1787802794.826665995	s4-eth10	1562	4806
1787802794.826665995	s4-eth11	2956	38529657
1787802794.826665995	s4-eth12	1562	4806
1787802794.826665995	s4-eth13	1562	4806
1787802794.826665995	s4-eth14	1562	4806
1787802794.826665995	s4-eth15	2876	38532190
1787802794.826665995	s4-eth16	1562	4806
1787802794.826665995	s4-eth17	1562	4716
1787802794.826665995	s4-eth18	1562	4806
1787802794.826665995	s4-eth19	2886	7731406
1787802794.826665995	s4-eth2	8042	8042
1787802794.826665995	s4-eth20	1562	4806
1787802794.826665995	s4-eth21	1562	4806
1787802794.826665995	s4-eth22	1562	4926
1787802794.826665995	s4-eth23	2884	38620359
1787802794.826665995	s4-eth24	1562	4806
1787802794.826665995	s4-eth25	1562	4806
1787802794.826665995	s4-eth26	1472	4806
1787802794.826665995	s4-eth27	2810	38621728
1787802794.826665995	s4-eth28	1562	4806
1787802794.826665995	s4-eth29	1562	4806
1787802794.826665995	s4-eth3	2950	7714114
1787802794.826665995	s4-eth30	1562	4806
1787802794.826665995	s4-eth31	2720	38621506
1787802794.826665995	s4-eth32	1562	4806
1787802794.826665995	s4-eth33	1562	4806
1787802794.826665995	s4-eth34	1562	4806
1787802794.826665995	s4-eth4	1562	4806
1787802794.826665995	s4-eth5	1562	4806
1787802794.826665995	s4-eth6	1562	4602
1787802794.826665995	s4-eth7	2809	38545168
1787802794.826665995	s4-eth8	1562	4806
1787802794.826665995	s4-eth9	1562	4806
1787802794.826665995	s5-eth1	540659521	18877
1787802794.826665995	s5-eth2	123622459	268727800
1787802794.826665995	s5-eth3	8042	6032
1787802794.826665995	s5-eth4	19080	392416365
1787802794.826665995	s6-eth1	8042	6012
1787802794.826665995	s6-eth2	8042	8042
1787802794.826665995	s6-eth3	8042	6012
1787802794.826665995	s6-eth4	8170	8042
1787802794.826665995	s7-eth1	123622570	268029450
1787802794.826665995	s7-eth2	18527	246924746
1787802794.826665995	s7-eth3	6215	8042
1787802794.826665995	s7-eth4	391825273	18952
1787802794.826665995	s8-eth1	8042	6215
1787802794.826665995	s8-eth2	8042	8042
1787802794.826665995	s8-eth3	8042	8042
1787802794.826665995	s8-eth4	8170	8042
1787802794.826665995	s9-eth1	6032	8042
1787802794.826665995	s9-eth2	6012	8042
1787802794.826665995	s9-eth3	8042	6215
1787802794.826665995	s9-eth4	8042	8042
1787802797.470909013	s10-eth1	392416365	19080
1787802797.470909013	s10-eth2	8042	8170
1787802797.470909013	s10-eth3	18952	391825273
1787802797.470909013	s10-eth4	8042	8170
1787802797.470909013	s1-eth1	18877	540659521
1787802797.470909013	s1-eth10	1562	4806
1787802797.470909013	s1-eth11	38629165	6343
1787802797.470909013	s1-eth12	1562	4806
1787802797.470909013	s1-eth13	1562	4911
1787802797.470909013	s1-eth14	1562	4806
1787802797.470909013	s1-eth15	38629165	6341
1787802797.470909013	s1-eth16	1562	4806
1787802797.470909013	s1-eth17	1562	4806
1787802797.470909013	s1-eth18	1562	4806
1787802797.470909013	s1-eth19	154501866	6134
1787802797.470909013	s1-eth2	6012	8042
1787802797.470909013	s1-eth20	1562	4806
1787802797.470909013	s1-eth21	1562	4806
1787802797.470909013	s1-eth22	1562	4806
1787802797.470909013	s1-eth23	38628639	6134
1787802797.470909013	s1-eth24	1562	4806
1787802797.470909013	s1-eth25	1562	4806
1787802797.470909013	s1-eth26	1562	4806
1787802797.470909013	s1-eth27	38627146	6201
1787802797.470909013	s1-eth28	1562	4806
1787802797.470909013	s1-eth29	1562	4806
1787802797.470909013	s1-eth3	154501930	6056
1787802797.470909013	s1-eth30	1562	4806
1787802797.470909013	s1-eth31	38628522	6121
1787802797.470909013	s1-eth32	1562	4806
1787802797.470909013	s1-eth33	1562	4806
1787802797.470909013	s1-eth34	1562	4806
1787802797.470909013	s1-eth4	1562	4806
1787802797.470909013	s1-eth5	1562	4806
1787802797.470909013	s1-eth6	1562	4806
1787802797.470909013	s1-eth7	38628576	6051
1787802797.470909013	s1-eth8	1562	4806
1787802797.470909013	s1-eth9	1562	4806
1787802797.470909013	s2-eth1	268727800	123622459
1787802797.470909013	s2-eth10	1562	4806
1787802797.470909013	s2-eth11	38628795	6200
1787802797.470909013	s2-eth12	1562	4806
1787802797.470909013	s2-eth13	1562	4806
1787802797.470909013	s2-eth14	1562	4806
1787802797.470909013	s2-eth15	38628444	6053
1787802797.470909013	s2-eth16	1562	4806
1787802797.470909013	s2-eth17	1562	4806
1787802797.470909013	s2-eth18	1562	4806
1787802797.470909013	s2-eth19	2890	153204426
1787802797.470909013	s2-eth2	8042	8042
1787802797.470909013	s2-eth20	1562	4806
1787802797.470909013	s2-eth21	1562	4806
1787802797.470909013	s2-eth22	1562	4806
1787802797.470909013	s2-eth23	2890	38415583
1787802797.470909013	s2-eth24	1562	4806
1787802797.470909013	s2-eth25	1562	4806
1787802797.470909013	s2-eth26	1562	4806
1787802797.470909013	s2-eth27	2957	38435720
1787802797.470909013	s2-eth28	1562	4806
1787802797.470909013	s2-eth29	1562	4587
1787802797.470909013	s2-eth3	7729616	6194
1787802797.470909013	s2-eth30	1562	4806
1787802797.470909013	s2-eth31	2877	38439980
1787802797.470909013	s2-eth32	1562	4806
1787802797.470909013	s2-eth33	1562	4806
1787802797.470909013	s2-eth34	1562	4806
1787802797.470909013	s2-eth4	1562	4806
1787802797.470909013	s2-eth5	1562	4806
1787802797.470909013	s2-eth6	1562	4806
1787802797.470909013	s2-eth7	38628444	5834
1787802797.470909013	s2-eth8	1562	4806
1787802797.470909013	s2-eth9	1562	4806
1787802797.470909013	s3-eth1	268029450	123622570
1787802797.470909013	s3-eth10	1562	4603
1787802797.470909013	s3-eth11	3099	38338241
1787802797.470909013	s3-eth12	1562	4806
1787802797.470909013	s3-eth13	1562	4806
1787802797.470909013	s3-eth14	1562	4806
1787802797.470909013	s3-eth15	3097	38351219
1787802797.470909013	s3-eth16	1562	4806
1787802797.470909013	s3-eth17	1562	4806
1787802797.470909013	s3-eth18	1562	4806
1787802797.470909013	s3-eth19	7729604	6130
1787802797.470909013	s3-eth2	6215	8042
1787802797.470909013	s3-eth20	1562	4806
1787802797.470909013	s3-eth21	1562	4806
1787802797.470909013	s3-eth22	1562	4806
1787802797.470909013	s3-eth23	38628651	6128
1787802797.470909013	s3-eth24	1562	4806
1787802797.470909013	s3-eth25	1562	4806
1787802797.470909013	s3-eth26	1562	4806
1787802797.470909013	s3-eth27	38628578	6054
1787802797.470909013	s3-eth28	1562	4806
1787802797.470909013	s3-eth29	1562	4806
1787802797.470909013	s3-eth3	2812	152923300
1787802797.470909013	s3-eth30	1562	4806
1787802797.470909013	s3-eth31	38628446	6054
1787802797.470909013	s3-eth32	1562	4806
1787802797.470909013	s3-eth33	1562	4806
1787802797.470909013	s3-eth34	1562	4736
1787802797.470909013	s3-eth4	1562	4806
1787802797.470909013	s3-eth5	1562	4806
1787802797.470909013	s3-eth6	1562	4806
1787802797.470909013	s3-eth7	2807	38359282
1787802797.470909013	s3-eth8	1562	4806
1787802797.470909013	s3-eth9	1562	4806
1787802797.470909013	s4-eth1	246924746	18527
1787802797.470909013	s4-eth10	1562	4806
1787802797.470909013	s4-eth11	2956	38529657
1787802797.470909013	s4-eth12	1562	4806
1787802797.470909013	s4-eth13	1562	4806
1787802797.470909013	s4-eth14	1562	4806
1787802797.470909013	s4-eth15	2876	38532190
1787802797.470909013	s4-eth16	1562	4806
1787802797.470909013	s4-eth17	1562	4716
1787802797.470909013	s4-eth18	1562	4806
1787802797.470909013	s4-eth19	2886	7731406
1787802797.470909013	s4-eth2	8042	8042
1787802797.470909013	s4-eth20	1562	4806
1787802797.470909013	s4-eth21	1562	4806
1787802797.470909013	s4-eth22	1562	4926
1787802797.470909013	s4-eth23	2884	38620359
1787802797.470909013	s4-eth24	1562	4806
1787802797.470909013	s4-eth25	1562	4806
1787802797.470909013	s4-eth26	1472	4806
1787802797.470909013	s4-eth27	2810	38621728
1787802797.470909013	s4-eth28	1562	4806
1787802797.470909013	s4-eth29	1562	4806
1787802797.470909013	s4-eth3	2950	7714114
1787802797.470909013	s4-eth30	1562	4806
1787802797.470909013	s4-eth31	2720	38621506
1787802797.470909013	s4-eth32	1562	4806
1787802797.470909013	s4-eth33	1562	4806
1787802797.470909013	s4-eth34	1562	4806
1787802797.470909013	s4-eth4	1562	4806
1787802797.470909013	s4-eth5	1562	4806
1787802797.470909013	s4-eth6	1562	4602
1787802797.470909013	s4-eth7	2809	38545168
1787802797.470909013	s4-eth8	1562	4806
1787802797.470909013	s4-eth9	1562	4806
1787802797.470909013	s5-eth1	540659521	18877
1787802797.470909013	s5-eth2	123622459	268727800
1787802797.470909013	s5-eth3	8042	6032
1787802797.470909013	s5-eth4	19080	392416365
1787802797.470909013	s6-eth1	8042	6012
