ts	iface	rx_bytes	tx_bytes
1787644313.575205764	s2-eth14	70187528	17298
1787644313.575205764	s2-eth15	33373894	19857
1787644313.575205764	s2-eth16	63754726	16361
1787644313.575205764	s2-eth17	76626331	18564
1787644313.575205764	s2-eth18	57313731	16204
1787644313.575205764	s2-eth19	14893	165362571
1787644313.575205764	s2-eth2	9349	1382391
1787644313.575205764	s2-eth20	13479	36289633
1787644313.575205764	s2-eth21	13975	36530448
1787644313.575205764	s2-eth22	13343	35509688
1787644313.575205764	s2-eth23	16304	25075747
1787644313.575205764	s2-eth24	12555	33373296
1787644313.575205764	s2-eth25	12949	30922764
1787644313.575205764	s2-eth26	12582	28168523
1787644313.575205764	s2-eth27	14794	108728477
1787644313.575205764	s2-eth28	12824	27745086
1787644313.575205764	s2-eth29	14491	38154668
1787644313.575205764	s2-eth3	309008594	19599
1787644313.575205764	s2-eth30	12778	30347750
1787644313.575205764	s2-eth31	14708	24083804
1787644313.575205764	s2-eth32	13868	34355592
1787644313.575205764	s2-eth33	14372	37209655
1787644313.575205764	s2-eth34	12313	27739896
1787644313.575205764	s2-eth4	66938902	16455
1787644313.575205764	s2-eth5	76608233	18835
1787644313.575205764	s2-eth6	70180983	16892
1787644313.575205764	s2-eth7	28864838	18566
1787644313.575205764	s2-eth8	70171821	17196
1787644313.575205764	s2-eth9	76612496	18770
1787644313.575205764	s3-eth1	796430614	1106621335
1787644313.575205764	s3-eth10	15247	30882005
1787644313.575205764	s3-eth11	16325	107935092
1787644313.575205764	s3-eth12	15615	30740508
1787644313.575205764	s3-eth13	16493	34952831
1787644313.575205764	s3-eth14	14979	30455218
1787644313.575205764	s3-eth15	17863	23876603
1787644313.575205764	s3-eth16	13506	28745474
1787644313.575205764	s3-eth17	15664	44718400
1787644313.575205764	s3-eth18	14302	30197367
1787644313.575205764	s3-eth19	296126916	18321
1787644313.575205764	s3-eth2	8312483	11582
1787644313.575205764	s3-eth20	63743362	16089
1787644313.575205764	s3-eth21	76626321	18261
1787644313.575205764	s3-eth22	66957942	16125
1787644313.575205764	s3-eth23	30150545	17976
1787644313.575205764	s3-eth24	44437054	14887
1787644313.575205764	s3-eth25	76630483	18048
1787644313.575205764	s3-eth26	70188391	16792
1787644313.575205764	s3-eth27	178977723	16548
1787644313.575205764	s3-eth28	70191163	16636
1787644313.575205764	s3-eth29	76611023	17892
1787644313.575205764	s3-eth3	16330	161395852
1787644313.575205764	s3-eth30	54090982	14894
1787644313.575205764	s3-eth31	25130965	17553
1787644313.575205764	s3-eth32	48297169	15932
1787644313.575205764	s3-eth33	76619582	17829
1787644313.575205764	s3-eth34	38000129	14977
1787644313.575205764	s3-eth4	15196	31930291
1787644313.575205764	s3-eth5	17092	36251112
1787644313.575205764	s3-eth6	15492	31489635
1787644313.575205764	s3-eth7	17736	24415673
1787644313.575205764	s3-eth8	16155	31277354
1787644313.575205764	s3-eth9	16542	35577110
1787644313.575205764	s4-eth1	1891508165	413524
1787644313.575205764	s4-eth10	14529	38988639
1787644313.575205764	s4-eth11	16930	145829406
1787644313.575205764	s4-eth12	14850	38838299
1787644313.575205764	s4-eth13	16419	44086856
1787644313.575205764	s4-eth14	14629	39425447
1787644313.575205764	s4-eth15	17839	26344884
1787644313.575205764	s4-eth16	13766	45557601
1787644313.575205764	s4-eth17	15486	44003025
1787644313.575205764	s4-eth18	13486	34987218
1787644313.575205764	s4-eth19	14854	175886093
1787644313.575205764	s4-eth2	11582	21398
1787644313.575205764	s4-eth20	12552	44811515
1787644313.575205764	s4-eth21	14814	55287800
1787644313.575205764	s4-eth22	12585	46378658
1787644313.575205764	s4-eth23	14569	27549466
1787644313.575205764	s4-eth24	11483	36426299
1787644313.575205764	s4-eth25	14671	55370795
1787644313.575205764	s4-eth26	13435	49376203
1787644313.575205764	s4-eth27	13304	132496284
1787644313.575205764	s4-eth28	13189	49709030
1787644313.575205764	s4-eth29	14579	54477762
1787644313.575205764	s4-eth3	16790	154824599
1787644313.575205764	s4-eth30	11607	39975465
1787644313.575205764	s4-eth31	14887	22954652
1787644313.575205764	s4-eth32	12773	29010112
1787644313.575205764	s4-eth33	14358	54828202
1787644313.575205764	s4-eth34	11526	34810298
1787644313.575205764	s4-eth4	14188	37151534
1787644313.575205764	s4-eth5	15733	44820189
1787644313.575205764	s4-eth6	14384	39492423
1787644313.575205764	s4-eth7	15992	24714926
1787644313.575205764	s4-eth8	14666	39296886
1787644313.575205764	s4-eth9	16106	44553746
1787644313.575205764	s5-eth1	2010465514	414296
1787644313.575205764	s5-eth2	1228764687	817147488
1787644313.575205764	s5-eth3	11582	1951732485
1787644313.575205764	s5-eth4	454314	11582
1787644313.575205764	s6-eth1	11582	20747
1787644313.575205764	s6-eth2	1382391	9349
1787644313.575205764	s6-eth3	11582	1276612
1787644313.575205764	s6-eth4	9801	11582
1787644313.575205764	s7-eth1	1106621335	796430614
1787644313.575205764	s7-eth2	413524	1891508165
1787644313.575205764	s7-eth3	1807879099	9552
1787644313.575205764	s7-eth4	194771	673430
1787644313.575205764	s8-eth1	11582	8312483
1787644313.575205764	s8-eth2	21398	11582
1787644313.575205764	s8-eth3	8401296	11582
1787644313.575205764	s8-eth4	45208	11582
1787644313.575205764	s9-eth1	1951732485	11582
1787644313.575205764	s9-eth2	1276612	11582
1787644313.575205764	s9-eth3	9552	1807879099
1787644313.575205764	s9-eth4	11582	8401296
1787644315.869146300	s10-eth1	11609	454342
1787644315.869146300	s10-eth2	11609	9829
1787644315.869146300	s10-eth3	673457	194799
1787644315.869146300	s10-eth4	11609	45236
1787644315.869146300	s1-eth1	414323	2010465541
1787644315.869146300	s1-eth10	70184041	17726
1787644315.869146300	s1-eth11	217592393	19725
1787644315.869146300	s1-eth12	70182388	17893
1787644315.869146300	s1-eth13	76611414	19076
1787644315.869146300	s1-eth14	70181863	17894
1787644315.869146300	s1-eth15	33372179	20581
1787644315.869146300	s1-eth16	50876752	16898
1787644315.869146300	s1-eth17	76628004	18292
1787644315.869146300	s1-eth18	70186718	17549
1787644315.869146300	s1-eth19	229163549	17784
1787644315.869146300	s1-eth2	20774	11609
1787644315.869146300	s1-eth20	70190152	16746
1787644315.869146300	s1-eth21	63754867	17355
1787644315.869146300	s1-eth22	70176529	16880
1787644315.869146300	s1-eth23	33372168	19372
1787644315.869146300	s1-eth24	66965690	15928
1787644315.869146300	s1-eth25	38000545	15875
1787644315.869146300	s1-eth26	50873838	15379
1787644315.869146300	s1-eth27	217601177	17767
1787644315.869146300	s1-eth28	50870455	15464
1787644315.869146300	s1-eth29	57315517	17534
1787644315.869146300	s1-eth3	345052048	19703
1787644315.869146300	s1-eth30	57314683	15556
1787644315.869146300	s1-eth31	30796854	18081
1787644315.869146300	s1-eth32	70187909	16731
1787644315.869146300	s1-eth33	57318346	17482
1787644315.869146300	s1-eth34	50875308	15353
1787644315.869146300	s1-eth4	70184840	18629
1787644315.869146300	s1-eth5	76617581	19771
1787644315.869146300	s1-eth6	70177558	18608
1787644315.869146300	s1-eth7	33366319	20512
1787644315.869146300	s1-eth8	70186433	19076
1787644315.869146300	s1-eth9	76614319	19326
1787644315.869146300	s2-eth1	817147515	1228764714
1787644315.869146300	s2-eth10	70185294	17764
1787644315.869146300	s2-eth11	294817457	19517
1787644315.869146300	s2-eth12	70186569	17856
1787644315.869146300	s2-eth13	76627604	18500
1787644315.869146300	s2-eth14	70187528	17298
1787644315.869146300	s2-eth15	33373894	19857
1787644315.869146300	s2-eth16	63754726	16361
1787644315.869146300	s2-eth17	76626331	18564
1787644315.869146300	s2-eth18	57313731	16204
1787644315.869146300	s2-eth19	14893	165362571
1787644315.869146300	s2-eth2	9376	1382418
1787644315.869146300	s2-eth20	13479	36289633
1787644315.869146300	s2-eth21	13975	36530448
1787644315.869146300	s2-eth22	13343	35509688
1787644315.869146300	s2-eth23	16304	25075747
1787644315.869146300	s2-eth24	12555	33373296
1787644315.869146300	s2-eth25	12949	30922764
1787644315.869146300	s2-eth26	12582	28168523
1787644315.869146300	s2-eth27	14794	108728477
1787644315.869146300	s2-eth28	12824	27745086
1787644315.869146300	s2-eth29	14491	38154668
1787644315.869146300	s2-eth3	309008594	19599
1787644315.869146300	s2-eth30	12778	30347750
1787644315.869146300	s2-eth31	14708	24083804
1787644315.869146300	s2-eth32	13868	34355592
1787644315.869146300	s2-eth33	14372	37209655
1787644315.869146300	s2-eth34	12313	27739896
1787644315.869146300	s2-eth4	66938902	16455
1787644315.869146300	s2-eth5	76608233	18835
1787644315.869146300	s2-eth6	70180983	16892
1787644315.869146300	s2-eth7	28864838	18566
1787644315.869146300	s2-eth8	70171821	17196
1787644315.869146300	s2-eth9	76612496	18770
1787644315.869146300	s3-eth1	796430641	1106621362
1787644315.869146300	s3-eth10	15247	30882005
1787644315.869146300	s3-eth11	16325	107935092
1787644315.869146300	s3-eth12	15615	30740508
1787644315.869146300	s3-eth13	16493	34952831
1787644315.869146300	s3-eth14	14979	30455218
1787644315.869146300	s3-eth15	17863	23876603
1787644315.869146300	s3-eth16	13506	28745474
1787644315.869146300	s3-eth17	15664	44718400
1787644315.869146300	s3-eth18	14302	30197367
1787644315.869146300	s3-eth19	296126916	18321
1787644315.869146300	s3-eth2	8312510	11609
1787644315.869146300	s3-eth20	63743362	16089
1787644315.869146300	s3-eth21	76626321	18261
1787644315.869146300	s3-eth22	66957942	16125
1787644315.869146300	s3-eth23	30150545	17976
1787644315.869146300	s3-eth24	44437054	14887
1787644315.869146300	s3-eth25	76630483	18048
1787644315.869146300	s3-eth26	70188391	16792
1787644315.869146300	s3-eth27	178977723	16548
1787644315.869146300	s3-eth28	70191163	16636
1787644315.869146300	s3-eth29	76611023	17892
1787644315.869146300	s3-eth3	16330	161395852
1787644315.869146300	s3-eth30	54090982	14894
1787644315.869146300	s3-eth31	25130965	17553
1787644315.869146300	s3-eth32	48297169	15932
1787644315.869146300	s3-eth33	76619582	17829
1787644315.869146300	s3-eth34	38000129	14977
1787644315.869146300	s3-eth4	15196	31930291
1787644315.869146300	s3-eth5	17092	36251112
1787644315.869146300	s3-eth6	15492	31489635
1787644315.869146300	s3-eth7	17736	24415673
1787644315.869146300	s3-eth8	16155	31277354
1787644315.869146300	s3-eth9	16542	35577110
1787644315.869146300	s4-eth1	1891508192	413551
1787644315.869146300	s4-eth10	14529	38988639
1787644315.869146300	s4-eth11	16930	145829406
1787644315.869146300	s4-eth12	14850	38838299
1787644315.869146300	s4-eth13	16419	44086856
1787644315.869146300	s4-eth14	14629	39425447
1787644315.869146300	s4-eth15	17839	26344884
1787644315.869146300	s4-eth16	13766	45557601
1787644315.869146300	s4-eth17	15486	44003025
1787644315.869146300	s4-eth18	13486	34987218
1787644315.869146300	s4-eth19	14854	175886093
1787644315.869146300	s4-eth2	11609	21425
1787644315.869146300	s4-eth20	12552	44811515
1787644315.869146300	s4-eth21	14814	55287800
1787644315.869146300	s4-eth22	12585	46378658
1787644315.869146300	s4-eth23	14569	27549466
1787644315.869146300	s4-eth24	11483	36426299
1787644315.869146300	s4-eth25	14671	55370795
1787644315.869146300	s4-eth26	13435	49376203
1787644315.869146300	s4-eth27	13304	132496284
1787644315.869146300	s4-eth28	13189	49709030
1787644315.869146300	s4-eth29	14579	54477762
1787644315.869146300	s4-eth3	16790	154824599
1787644315.869146300	s4-eth30	11607	39975465
1787644315.869146300	s4-eth31	14887	22954652
1787644315.869146300	s4-eth32	12773	29010112
1787644315.869146300	s4-eth33	14358	54828202
1787644315.869146300	s4-eth34	11526	34810298
1787644315.869146300	s4-eth4	14188	37151534
1787644315.869146300	s4-eth5	15733	44820189
1787644315.869146300	s4-eth6	14384	39492423
1787644315.869146300	s4-eth7	15992	24714926
1787644315.869146300	s4-eth8	14666	39296886
1787644315.869146300	s4-eth9	16106	44553746
1787644315.869146300	s5-eth1	2010465541	414323
1787644315.869146300	s5-eth2	1228764714	817147515
1787644315.869146300	s5-eth3	11609	1951732512
1787644315.869146300	s5-eth4	454342	11609
1787644315.869146300	s6-eth1	11609	20774
1787644315.869146300	s6-eth2	1382418	9376
1787644315.869146300	s6-eth3	11609	1276639
1787644315.869146300	s6-eth4	9829	11609
1787644315.869146300	s7-eth1	1106621362	796430641
1787644315.869146300	s7-eth2	413551	1891508192
1787644315.869146300	s7-eth3	1807879126	9579
1787644315.869146300	s7-eth4	194799	673457
1787644315.869146300	s8-eth1	11609	8312510
1787644315.869146300	s8-eth2	21425	11609
1787644315.869146300	s8-eth3	8401323	11609
1787644315.869146300	s8-eth4	45236	11609
1787644315.869146300	s9-eth1	1951732512	11609
1787644315.869146300	s9-eth2	1276639	11609
1787644315.869146300	s9-eth3	9579	1807879126
1787644315.869146300	s9-eth4	11609	8401323
1787644318.158628130	s10-eth1	11609	454342
1787644318.158628130	s10-eth2	11609	9829
1787644318.158628130	s10-eth3	673457	194799
1787644318.158628130	s10-eth4	11609	45236
1787644318.158628130	s1-eth1	414323	2010465541
1787644318.158628130	s1-eth10	70184041	17726
1787644318.158628130	s1-eth11	217592393	19725
1787644318.158628130	s1-eth12	70182388	17893
1787644318.158628130	s1-eth13	76611414	19076
1787644318.158628130	s1-eth14	70181863	17894
1787644318.158628130	s1-eth15	33372179	20581
1787644318.158628130	s1-eth16	50876752	16898
1787644318.158628130	s1-eth17	76628004	18292
1787644318.158628130	s1-eth18	70186718	17549
1787644318.158628130	s1-eth19	229163549	17784
1787644318.158628130	s1-eth2	20774	11609
1787644318.158628130	s1-eth20	70190152	16746
1787644318.158628130	s1-eth21	63754867	17355
1787644318.158628130	s1-eth22	70176529	16880
1787644318.158628130	s1-eth23	33372168	19372
1787644318.158628130	s1-eth24	66965690	15928
1787644318.158628130	s1-eth25	38000545	15875
1787644318.158628130	s1-eth26	50873838	15379
1787644318.158628130	s1-eth27	217601177	17767
1787644318.158628130	s1-eth28	50870455	15464
1787644318.158628130	s1-eth29	57315517	17534
1787644318.158628130	s1-eth3	345052048	19703
1787644318.158628130	s1-eth30	57314683	15556
1787644318.158628130	s1-eth31	30796854	18081
1787644318.158628130	s1-eth32	70187909	16731
1787644318.158628130	s1-eth33	57318346	17482
1787644318.158628130	s1-eth34	50875308	15353
1787644318.158628130	s1-eth4	70184840	18629
1787644318.158628130	s1-eth5	76617581	19771
1787644318.158628130	s1-eth6	70177558	18608
1787644318.158628130	s1-eth7	33366319	20512
1787644318.158628130	s1-eth8	70186433	19076
1787644318.158628130	s1-eth9	76614319	19326
1787644318.158628130	s2-eth1	817147515	1228764714
1787644318.158628130	s2-eth10	70185294	17764
1787644318.158628130	s2-eth11	294817457	19517
1787644318.158628130	s2-eth12	70186569	17856
1787644318.158628130	s2-eth13	76627604	18500
1787644318.158628130	s2-eth14	70187528	17298
1787644318.158628130	s2-eth15	33373894	19857
1787644318.158628130	s2-eth16	63754726	16361
1787644318.158628130	s2-eth17	76626331	18564
1787644318.158628130	s2-eth18	57313731	16204
1787644318.158628130	s2-eth19	14893	165362571
1787644318.158628130	s2-eth2	9376	1382418
1787644318.158628130	s2-eth20	13479	36289633
1787644318.158628130	s2-eth21	13975	36530448
1787644318.158628130	s2-eth22	13343	35509688
1787644318.158628130	s2-eth23	16304	25075747
1787644318.158628130	s2-eth24	12555	33373296
1787644318.158628130	s2-eth25	12949	30922764
1787644318.158628130	s2-eth26	12582	28168523
1787644318.158628130	s2-eth27	14794	108728477
1787644318.158628130	s2-eth28	12824	27745086
1787644318.158628130	s2-eth29	14491	38154668
1787644318.158628130	s2-eth3	309008594	19599
1787644318.158628130	s2-eth30	12778	30347750
1787644318.158628130	s2-eth31	14708	24083804
1787644318.158628130	s2-eth32	13868	34355592
1787644318.158628130	s2-eth33	14372	37209655
1787644318.158628130	s2-eth34	12313	27739896
1787644318.158628130	s2-eth4	66938902	16455
1787644318.158628130	s2-eth5	76608233	18835
1787644318.158628130	s2-eth6	70180983	16892
1787644318.158628130	s2-eth7	28864838	18566
1787644318.158628130	s2-eth8	70171821	17196
1787644318.158628130	s2-eth9	76612496	18770
1787644318.158628130	s3-eth1	796430641	1106621362
1787644318.158628130	s3-eth10	15247	30882005
1787644318.158628130	s3-eth11	16325	107935092
1787644318.158628130	s3-eth12	15615	30740508
1787644318.158628130	s3-eth13	16493	34952831
1787644318.158628130	s3-eth14	14979	30455218
1787644318.158628130	s3-eth15	17863	23876603
1787644318.158628130	s3-eth16	13506	28745474
1787644318.158628130	s3-eth17	15664	44718400
1787644318.158628130	s3-eth18	14302	30197367
1787644318.158628130	s3-eth19	296126916	18321
1787644318.158628130	s3-eth2	8312510	11609
1787644318.158628130	s3-eth20	63743362	16089
1787644318.158628130	s3-eth21	76626321	18261
1787644318.158628130	s3-eth22	66957942	16125
1787644318.158628130	s3-eth23	30150545	17976
1787644318.158628130	s3-eth24	44437054	14887
1787644318.158628130	s3-eth25	76630483	18048
1787644318.158628130	s3-eth26	70188391	16792
1787644318.158628130	s3-eth27	178977723	16548
1787644318.158628130	s3-eth28	70191163	16636
1787644318.158628130	s3-eth29	76611023	17892
1787644318.158628130	s3-eth3	16330	161395852
1787644318.158628130	s3-eth30	54090982	14894
1787644318.158628130	s3-eth31	25130965	17553
1787644318.158628130	s3-eth32	48297169	15932
1787644318.158628130	s3-eth33	76619582	17829
1787644318.158628130	s3-eth34	38000129	14977
1787644318.158628130	s3-eth4	15196	31930291
1787644318.158628130	s3-eth5	17092	36251112
1787644318.158628130	s3-eth6	15492	31489635
1787644318.158628130	s3-eth7	17736	24415673
1787644318.158628130	s3-eth8	16155	31277354
1787644318.158628130	s3-eth9	16542	35577110
1787644318.158628130	s4-eth1	1891508192	413551
1787644318.158628130	s4-eth10	14529	38988639
1787644318.158628130	s4-eth11	16930	145829406
1787644318.158628130	s4-eth12	14850	38838299
1787644318.158628130	s4-eth13	16419	44086856
1787644318.158628130	s4-eth14	14629	39425447
1787644318.158628130	s4-eth15	17839	26344884
1787644318.158628130	s4-eth16	13766	45557601
1787644318.158628130	s4-eth17	15486	44003025
1787644318.158628130	s4-eth18	13486	34987218
1787644318.158628130	s4-eth19	14854	175886093
1787644318.158628130	s4-eth2	11609	21425
1787644318.158628130	s4-eth20	12552	44811515
1787644318.158628130	s4-eth21	14814	55287800
1787644318.158628130	s4-eth22	12585	46378658
1787644318.158628130	s4-eth23	14569	27549466
1787644318.158628130	s4-eth24	11483	36426299
1787644318.158628130	s4-eth25	14671	55370795
1787644318.158628130	s4-eth26	13435	49376203
1787644318.158628130	s4-eth27	13304	132496284
1787644318.158628130	s4-eth28	13189	49709030
1787644318.158628130	s4-eth29	14579	54477762
1787644318.158628130	s4-eth3	16790	154824599
1787644318.158628130	s4-eth30	11607	39975465
1787644318.158628130	s4-eth31	14887	22954652
1787644318.158628130	s4-eth32	12773	29010112
1787644318.158628130	s4-eth33	14358	54828202
1787644318.158628130	s4-eth34	11526	34810298
1787644318.158628130	s4-eth4	14188	37151534
1787644318.158628130	s4-eth5	15733	44820189
1787644318.158628130	s4-eth6	14384	39492423
1787644318.158628130	s4-eth7	15992	24714926
1787644318.158628130	s4-eth8	14666	39296886
1787644318.158628130	s4-eth9	16106	44553746
1787644318.158628130	s5-eth1	2010465541	414323
1787644318.158628130	s5-eth2	1228764714	817147515
1787644318.158628130	s5-eth3	11609	1951732512
1787644318.158628130	s5-eth4	454342	11609
1787644318.158628130	s6-eth1	11609	20774
1787644318.158628130	s6-eth2	1382418	9376
1787644318.158628130	s6-eth3	11609	1276639
1787644318.158628130	s6-eth4	9829	11609
1787644318.158628130	s7-eth1	1106621362	796430641
1787644318.158628130	s7-eth2	413551	1891508192
1787644318.158628130	s7-eth3	1807879126	9579
1787644318.158628130	s7-eth4	194799	673457
1787644318.158628130	s8-eth1	11609	8312510
1787644318.158628130	s8-eth2	21425	11609
1787644318.158628130	s8-eth3	8401323	11609
1787644318.158628130	s8-eth4	45236	11609
1787644318.158628130	s9-eth1	1951732512	11609
1787644318.158628130	s9-eth2	1276639	11609
1787644318.158628130	s9-eth3	9579	1807879126
1787644318.158628130	s9-eth4	11609	8401323
1787644320.446595165	s10-eth1	11636	454370
1787644320.446595165	s10-eth2	11636	9857
1787644320.446595165	s10-eth3	673484	194827
1787644320.446595165	s10-eth4	11636	45264
1787644320.446595165	s1-eth1	414350	2010465568
1787644320.446595165	s1-eth10	70184041	17726
1787644320.446595165	s1-eth11	217592393	19725
1787644320.446595165	s1-eth12	70182388	17893
1787644320.446595165	s1-eth13	76611414	19076
1787644320.446595165	s1-eth14	70181863	17894
1787644320.446595165	s1-eth15	33372179	20581
1787644320.446595165	s1-eth16	50876752	16898
1787644320.446595165	s1-eth17	76628004	18292
1787644320.446595165	s1-eth18	70186718	17549
1787644320.446595165	s1-eth19	229163549	17784
1787644320.446595165	s1-eth2	20801	11636
1787644320.446595165	s1-eth20	70190152	16746
1787644320.446595165	s1-eth21	63754867	17355
1787644320.446595165	s1-eth22	70176529	16880
1787644320.446595165	s1-eth23	33372168	19372
1787644320.446595165	s1-eth24	66965690	15928
1787644320.446595165	s1-eth25	38000545	15875
1787644320.446595165	s1-eth26	50873838	15379
1787644320.446595165	s1-eth27	217601177	17767
1787644320.446595165	s1-eth28	50870455	15464
1787644320.446595165	s1-eth29	57315517	17534
1787644320.446595165	s1-eth3	345052048	19703
1787644320.446595165	s1-eth30	57314683	15556
1787644320.446595165	s1-eth31	30796854	18081
1787644320.446595165	s1-eth32	70187909	16731
1787644320.446595165	s1-eth33	57318346	17482
1787644320.446595165	s1-eth34	50875308	15353
1787644320.446595165	s1-eth4	70184840	18629
1787644320.446595165	s1-eth5	76617581	19771
1787644320.446595165	s1-eth6	70177558	18608
1787644320.446595165	s1-eth7	33366319	20512
1787644320.446595165	s1-eth8	70186433	19076
1787644320.446595165	s1-eth9	76614319	19326
1787644320.446595165	s2-eth1	817147542	1228764741
1787644320.446595165	s2-eth10	70185294	17764
1787644320.446595165	s2-eth11	294817457	19517
1787644320.446595165	s2-eth12	70186569	17856
1787644320.446595165	s2-eth13	76627604	18500
1787644320.446595165	s2-eth14	70187528	17298
1787644320.446595165	s2-eth15	33373894	19857
1787644320.446595165	s2-eth16	63754726	16361
1787644320.446595165	s2-eth17	76626331	18564
1787644320.446595165	s2-eth18	57313731	16204
1787644320.446595165	s2-eth19	14893	165362571
1787644320.446595165	s2-eth2	9403	1382445
1787644320.446595165	s2-eth20	13479	36289633
1787644320.446595165	s2-eth21	13975	36530448
1787644320.446595165	s2-eth22	13343	35509688
1787644320.446595165	s2-eth23	16304	25075747
1787644320.446595165	s2-eth24	12555	33373296
1787644320.446595165	s2-eth25	12949	30922764
1787644320.446595165	s2-eth26	12582	28168523
1787644320.446595165	s2-eth27	14794	108728477
1787644320.446595165	s2-eth28	12824	27745086
1787644320.446595165	s2-eth29	14491	38154668
1787644320.446595165	s2-eth3	309008594	19599
1787644320.446595165	s2-eth30	12778	30347750
1787644320.446595165	s2-eth31	14708	24083804
1787644320.446595165	s2-eth32	13868	34355592
1787644320.446595165	s2-eth33	14372	37209655
1787644320.446595165	s2-eth34	12313	27739896
1787644320.446595165	s2-eth4	66938902	16455
1787644320.446595165	s2-eth5	76608233	18835
1787644320.446595165	s2-eth6	70180983	16892
1787644320.446595165	s2-eth7	28864838	18566
1787644320.446595165	s2-eth8	70171821	17196
1787644320.446595165	s2-eth9	76612496	18770
1787644320.446595165	s3-eth1	796430668	1106621389
1787644320.446595165	s3-eth10	15247	30882005
1787644320.446595165	s3-eth11	16325	107935092
1787644320.446595165	s3-eth12	15615	30740508
1787644320.446595165	s3-eth13	16493	34952831
1787644320.446595165	s3-eth14	14979	30455218
1787644320.446595165	s3-eth15	17863	23876603
1787644320.446595165	s3-eth16	13506	28745474
1787644320.446595165	s3-eth17	15664	44718400
1787644320.446595165	s3-eth18	14302	30197367
1787644320.446595165	s3-eth19	296126916	18321
1787644320.446595165	s3-eth2	8312537	11636
1787644320.446595165	s3-eth20	63743362	16089
1787644320.446595165	s3-eth21	76626321	18261
1787644320.446595165	s3-eth22	66957942	16125
1787644320.446595165	s3-eth23	30150545	17976
1787644320.446595165	s3-eth24	44437054	14887
1787644320.446595165	s3-eth25	76630483	18048
1787644320.446595165	s3-eth26	70188391	16792
1787644320.446595165	s3-eth27	178977723	16548
1787644320.446595165	s3-eth28	70191163	16636
1787644320.446595165	s3-eth29	76611023	17892
1787644320.446595165	s3-eth3	16330	161395852
1787644320.446595165	s3-eth30	54090982	14894
1787644320.446595165	s3-eth31	25130965	17553
1787644320.446595165	s3-eth32	48297169	15932
1787644320.446595165	s3-eth33	76619582	17829
1787644320.446595165	s3-eth34	38000129	14977
1787644320.446595165	s3-eth4	15196	31930291
1787644320.446595165	s3-eth5	17092	36251112
1787644320.446595165	s3-eth6	15492	31489635
1787644320.446595165	s3-eth7	17736	24415673
1787644320.446595165	s3-eth8	16155	31277354
1787644320.446595165	s3-eth9	16542	35577110
1787644320.446595165	s4-eth1	1891508219	413578
1787644320.446595165	s4-eth10	14529	38988639
1787644320.446595165	s4-eth11	16930	145829406
1787644320.446595165	s4-eth12	14850	38838299
1787644320.446595165	s4-eth13	16419	44086856
1787644320.446595165	s4-eth14	14629	39425447
1787644320.446595165	s4-eth15	17839	26344884
1787644320.446595165	s4-eth16	13766	45557601
1787644320.446595165	s4-eth17	15486	44003025
1787644320.446595165	s4-eth18	13486	34987218
1787644320.446595165	s4-eth19	14854	175886093
1787644320.446595165	s4-eth2	11636	21452
1787644320.446595165	s4-eth20	12552	44811515
1787644320.446595165	s4-eth21	14814	55287800
1787644320.446595165	s4-eth22	12585	46378658
1787644320.446595165	s4-eth23	14569	27549466
1787644320.446595165	s4-eth24	11483	36426299
1787644320.446595165	s4-eth25	14671	55370795
1787644320.446595165	s4-eth26	13435	49376203
1787644320.446595165	s4-eth27	13304	132496284
1787644320.446595165	s4-eth28	13189	49709030
1787644320.446595165	s4-eth29	14579	54477762
1787644320.446595165	s4-eth3	16790	154824599
1787644320.446595165	s4-eth30	11607	39975465
1787644320.446595165	s4-eth31	14887	22954652
1787644320.446595165	s4-eth32	12773	29010112
1787644320.446595165	s4-eth33	14358	54828202
1787644320.446595165	s4-eth34	11526	34810298
1787644320.446595165	s4-eth4	14188	37151534
1787644320.446595165	s4-eth5	15733	44820189
1787644320.446595165	s4-eth6	14384	39492423
1787644320.446595165	s4-eth7	15992	24714926
1787644320.446595165	s4-eth8	14666	39296886
1787644320.446595165	s4-eth9	16106	44553746
1787644320.446595165	s5-eth1	2010465568	414350
1787644320.446595165	s5-eth2	1228764741	817147542
1787644320.446595165	s5-eth3	11636	1951732539
1787644320.446595165	s5-eth4	454370	11636
1787644320.446595165	s6-eth1	11636	20801
1787644320.446595165	s6-eth2	1382445	9403
1787644320.446595165	s6-eth3	11636	1276666
1787644320.446595165	s6-eth4	9857	11636
1787644320.446595165	s7-eth1	1106621389	796430668
1787644320.446595165	s7-eth2	413578	1891508219
1787644320.446595165	s7-eth3	1807879153	9606
1787644320.446595165	s7-eth4	194827	673484
1787644320.446595165	s8-eth1	11636	8312537
1787644320.446595165	s8-eth2	21452	11636
1787644320.446595165	s8-eth3	8401350	11636
1787644320.446595165	s8-eth4	45264	11636
1787644320.446595165	s9-eth1	1951732539	11636
1787644320.446595165	s9-eth2	1276666	11636
1787644320.446595165	s9-eth3	9606	1807879153
1787644320.446595165	s9-eth4	11636	8401350
1787644322.744133931	s10-eth1	11636	454370
1787644322.744133931	s10-eth2	11636	9857
1787644322.744133931	s10-eth3	673484	194827
1787644322.744133931	s10-eth4	11636	45264
1787644322.744133931	s1-eth1	414350	2010465568
1787644322.744133931	s1-eth10	70184041	17726
1787644322.744133931	s1-eth11	217592393	19725
1787644322.744133931	s1-eth12	70182388	17893
1787644322.744133931	s1-eth13	76611414	19076
1787644322.744133931	s1-eth14	70181863	17894
