ts	iface	rx_bytes	tx_bytes
1787883092.004186613	s4-eth10	923110	109568522
1787883092.004186613	s4-eth11	2625275	2398999166
1787883092.004186613	s4-eth12	1024550	56514402
1787883092.004186613	s4-eth13	1018911	66272884
1787883092.004186613	s4-eth14	678839	40775365
1787883092.004186613	s4-eth15	1931188	1986062354
1787883092.004186613	s4-eth16	2020844	176987231
1787883092.004186613	s4-eth17	1960967	169151444
1787883092.004186613	s4-eth18	536711	80228111
1787883092.004186613	s4-eth19	851801	911542510
1787883092.004186613	s4-eth2	325912	323070
1787883092.004186613	s4-eth20	1874647	252914352
1787883092.004186613	s4-eth21	423659	150278212
1787883092.004186613	s4-eth22	1571196	231347470
1787883092.004186613	s4-eth23	1243974	2262128940
1787883092.004186613	s4-eth24	1613041	232692215
1787883092.004186613	s4-eth25	2005680	265882277
1787883092.004186613	s4-eth26	747674	174047450
1787883092.004186613	s4-eth27	1574306	2672718251
1787883092.004186613	s4-eth28	2897325	202417938
1787883092.004186613	s4-eth29	1634872	132789000
1787883092.004186613	s4-eth3	829438	649035015
1787883092.004186613	s4-eth30	3002165	200861161
1787883092.004186613	s4-eth31	1340849	2237609631
1787883092.004186613	s4-eth32	1939066	132297902
1787883092.004186613	s4-eth33	1557129	116838937
1787883092.004186613	s4-eth34	529892	38543083
1787883092.004186613	s4-eth4	500206	85782882
1787883092.004186613	s4-eth5	2635358	215233981
1787883092.004186613	s4-eth6	2083381	185765597
1787883092.004186613	s4-eth7	671734	2135323489
1787883092.004186613	s4-eth8	947735	110247397
1787883092.004186613	s4-eth9	887873	108563139
1787883092.004186613	s5-eth1	33008474229	47452079
1787883092.004186613	s5-eth2	11070799748	15107334088
1787883092.004186613	s5-eth3	45982663	25404135465
1787883092.004186613	s5-eth4	337564	323273
1787883092.004186613	s6-eth1	741025181	325912
1787883092.004186613	s6-eth2	325912	203026312
1787883092.004186613	s6-eth3	325912	356729435
1787883092.004186613	s6-eth4	337689	325912
1787883092.004186613	s7-eth1	11714391522	14963650009
1787883092.004186613	s7-eth2	46325292	19590302004
1787883092.004186613	s7-eth3	24819960507	45987215
1787883092.004186613	s7-eth4	337466	325912
1787883092.004186613	s8-eth1	325912	325912
1787883092.004186613	s8-eth2	323070	325912
1787883092.004186613	s8-eth3	325912	323273
1787883092.004186613	s8-eth4	337564	325912
1787883092.004186613	s9-eth1	25404135465	45982663
1787883092.004186613	s9-eth2	356729435	325912
1787883092.004186613	s9-eth3	45987215	24819960507
1787883092.004186613	s9-eth4	323273	325912
1787883094.307621636	s10-eth1	323273	337564
1787883094.307621636	s10-eth2	325912	337689
1787883094.307621636	s10-eth3	325912	337466
1787883094.307621636	s10-eth4	325912	337564
1787883094.307621636	s1-eth1	47452079	33008474229
1787883094.307621636	s1-eth10	45062148	803156
1787883094.307621636	s1-eth11	3216526840	421855
1787883094.307621636	s1-eth12	271547924	669108
1787883094.307621636	s1-eth13	32263380	291622
1787883094.307621636	s1-eth14	275710074	780303
1787883094.307621636	s1-eth15	2168791556	2305412
1787883094.307621636	s1-eth16	355204547	2149772
1787883094.307621636	s1-eth17	141634423	2158852
1787883094.307621636	s1-eth18	218880992	13374
1787883094.307621636	s1-eth19	9774125834	762891
1787883094.307621636	s1-eth2	325912	741025181
1787883094.307621636	s1-eth20	354192865	1627508
1787883094.307621636	s1-eth21	410894357	2743745
1787883094.307621636	s1-eth22	71232552	867428
1787883094.307621636	s1-eth23	2271513710	1074996
1787883094.307621636	s1-eth24	282155389	746819
1787883094.307621636	s1-eth25	190701021	2725118
1787883094.307621636	s1-eth26	350674879	1742395
1787883094.307621636	s1-eth27	2352706716	1578432
1787883094.307621636	s1-eth28	100282553	1600735
1787883094.307621636	s1-eth29	56696094	943753
1787883094.307621636	s1-eth3	10250815019	5251341
1787883094.307621636	s1-eth30	69974393	1134874
1787883094.307621636	s1-eth31	2234160427	656505
1787883094.307621636	s1-eth32	322720759	1424943
1787883094.307621636	s1-eth33	127916015	2007967
1787883094.307621636	s1-eth34	84105348	1245221
1787883094.307621636	s1-eth4	304325639	1197184
1787883094.307621636	s1-eth5	313459661	1390448
1787883094.307621636	s1-eth6	306567210	1345529
1787883094.307621636	s1-eth7	2379559275	2426901
1787883094.307621636	s1-eth8	347334097	1889685
1787883094.307621636	s1-eth9	110474172	1513405
1787883094.307621636	s2-eth1	15107334088	11070799748
1787883094.307621636	s2-eth10	288266001	930916
1787883094.307621636	s2-eth11	3283582514	2627905
1787883094.307621636	s2-eth12	58291233	1027988
1787883094.307621636	s2-eth13	79409837	1022420
1787883094.307621636	s2-eth14	55235712	681600
1787883094.307621636	s2-eth15	2125767819	1930894
1787883094.307621636	s2-eth16	359012489	2013099
1787883094.307621636	s2-eth17	351599770	1960393
1787883094.307621636	s2-eth18	248788387	545334
1787883094.307621636	s2-eth19	754370	7204721311
1787883094.307621636	s2-eth2	203026312	325912
1787883094.307621636	s2-eth20	1621088	191795339
1787883094.307621636	s2-eth21	2735592	241997208
1787883094.307621636	s2-eth22	859826	56738673
1787883094.307621636	s2-eth23	1066900	2011289597
1787883094.307621636	s2-eth24	738496	113474167
1787883094.307621636	s2-eth25	2719621	173878589
1787883094.307621636	s2-eth26	1735118	180817395
1787883094.307621636	s2-eth27	1570096	2091974627
1787883094.307621636	s2-eth28	1594026	95174438
1787883094.307621636	s2-eth29	935704	54796873
1787883094.307621636	s2-eth3	1487364976	836886
1787883094.307621636	s2-eth30	1126729	66833430
1787883094.307621636	s2-eth31	648731	1976434558
1787883094.307621636	s2-eth32	1416433	162142891
1787883094.307621636	s2-eth33	2003859	122892229
1787883094.307621636	s2-eth34	1237621	68212250
1787883094.307621636	s2-eth4	262678168	508673
1787883094.307621636	s2-eth5	396036853	2635405
1787883094.307621636	s2-eth6	365173814	2081370
1787883094.307621636	s2-eth7	2282410348	675502
1787883094.307621636	s2-eth8	289096869	947939
1787883094.307621636	s2-eth9	287793518	890491
1787883094.307621636	s3-eth1	14963650009	11714391522
1787883094.307621636	s3-eth10	797483	42495745
1787883094.307621636	s3-eth11	414680	2046730339
1787883094.307621636	s3-eth12	660324	85907610
1787883094.307621636	s3-eth13	282799	17392742
1787883094.307621636	s3-eth14	772258	88356325
1787883094.307621636	s3-eth15	2299227	1888613072
1787883094.307621636	s3-eth16	2143814	162285762
1787883094.307621636	s3-eth17	2157391	122539256
1787883094.307621636	s3-eth18	4572	47644697
1787883094.307621636	s3-eth19	1495746241	860339
1787883094.307621636	s3-eth2	325912	325912
1787883094.307621636	s3-eth20	366074077	1865880
1787883094.307621636	s3-eth21	261262150	417297
1787883094.307621636	s3-eth22	344180768	1577256
1787883094.307621636	s3-eth23	2328098746	1240682
1787883094.307621636	s3-eth24	337544300	1613335
1787883094.307621636	s3-eth25	381144399	2006986
1787883094.307621636	s3-eth26	288766414	754006
1787883094.307621636	s3-eth27	3307837904	1568000
1787883094.307621636	s3-eth28	215448603	2890420
1787883094.307621636	s3-eth29	144566257	1632572
1787883094.307621636	s3-eth3	5244854	7479760188
1787883094.307621636	s3-eth30	215287795	2987854
1787883094.307621636	s3-eth31	2285525940	1329062
1787883094.307621636	s3-eth32	144870470	1937789
1787883094.307621636	s3-eth33	127869435	1559371
1787883094.307621636	s3-eth34	48326776	537880
1787883094.307621636	s3-eth4	1190481	120366785
1787883094.307621636	s3-eth5	1383737	128437099
1787883094.307621636	s3-eth6	1340144	119039375
1787883094.307621636	s3-eth7	2423803	2041777416
1787883094.307621636	s3-eth8	1883960	161089143
1787883094.307621636	s3-eth9	1506649	93350924
1787883094.307621636	s4-eth1	19590302004	46325292
1787883094.307621636	s4-eth10	923110	109568522
1787883094.307621636	s4-eth11	2625275	2398999166
1787883094.307621636	s4-eth12	1024550	56514402
1787883094.307621636	s4-eth13	1018911	66272884
1787883094.307621636	s4-eth14	678839	40775365
1787883094.307621636	s4-eth15	1931188	1986062354
1787883094.307621636	s4-eth16	2020844	176987231
1787883094.307621636	s4-eth17	1960967	169151444
1787883094.307621636	s4-eth18	536711	80228111
1787883094.307621636	s4-eth19	851801	911542510
1787883094.307621636	s4-eth2	325912	323070
1787883094.307621636	s4-eth20	1874647	252914352
1787883094.307621636	s4-eth21	423659	150278212
1787883094.307621636	s4-eth22	1571196	231347470
1787883094.307621636	s4-eth23	1243974	2262128940
1787883094.307621636	s4-eth24	1613041	232692215
1787883094.307621636	s4-eth25	2005680	265882277
1787883094.307621636	s4-eth26	747674	174047450
1787883094.307621636	s4-eth27	1574306	2672718251
1787883094.307621636	s4-eth28	2897325	202417938
1787883094.307621636	s4-eth29	1634872	132789000
1787883094.307621636	s4-eth3	829438	649035015
1787883094.307621636	s4-eth30	3002165	200861161
1787883094.307621636	s4-eth31	1340849	2237609631
1787883094.307621636	s4-eth32	1939066	132297902
1787883094.307621636	s4-eth33	1557129	116838937
1787883094.307621636	s4-eth34	529892	38543083
1787883094.307621636	s4-eth4	500206	85782882
1787883094.307621636	s4-eth5	2635358	215233981
1787883094.307621636	s4-eth6	2083381	185765597
1787883094.307621636	s4-eth7	671734	2135323489
1787883094.307621636	s4-eth8	947735	110247397
1787883094.307621636	s4-eth9	887873	108563139
1787883094.307621636	s5-eth1	33008474229	47452079
1787883094.307621636	s5-eth2	11070799748	15107334088
1787883094.307621636	s5-eth3	45982663	25404135465
1787883094.307621636	s5-eth4	337564	323273
1787883094.307621636	s6-eth1	741025181	325912
1787883094.307621636	s6-eth2	325912	203026312
1787883094.307621636	s6-eth3	325912	356729435
1787883094.307621636	s6-eth4	337689	325912
1787883094.307621636	s7-eth1	11714391522	14963650009
1787883094.307621636	s7-eth2	46325292	19590302004
1787883094.307621636	s7-eth3	24819960507	45987215
1787883094.307621636	s7-eth4	337466	325912
1787883094.307621636	s8-eth1	325912	325912
1787883094.307621636	s8-eth2	323070	325912
1787883094.307621636	s8-eth3	325912	323273
1787883094.307621636	s8-eth4	337564	325912
1787883094.307621636	s9-eth1	25404135465	45982663
1787883094.307621636	s9-eth2	356729435	325912
1787883094.307621636	s9-eth3	45987215	24819960507
1787883094.307621636	s9-eth4	323273	325912
1787883096.636951450	s10-eth1	323300	337592
1787883096.636951450	s10-eth2	325939	337717
1787883096.636951450	s10-eth3	325939	337494
1787883096.636951450	s10-eth4	325939	337592
1787883096.636951450	s1-eth1	47456612	33010396798
1787883096.636951450	s1-eth10	45062148	803156
1787883096.636951450	s1-eth11	3216689122	422442
1787883096.636951450	s1-eth12	271547924	669108
1787883096.636951450	s1-eth13	32263380	291622
1787883096.636951450	s1-eth14	275710074	780303
1787883096.636951450	s1-eth15	2169023054	2305999
1787883096.636951450	s1-eth16	355204547	2149772
1787883096.636951450	s1-eth17	141634423	2158852
1787883096.636951450	s1-eth18	218880992	13374
1787883096.636951450	s1-eth19	9775266003	763556
1787883096.636951450	s1-eth2	325939	741025208
1787883096.636951450	s1-eth20	354192865	1627508
1787883096.636951450	s1-eth21	410894357	2743745
1787883096.636951450	s1-eth22	71232552	867428
1787883096.636951450	s1-eth23	2271840302	1075516
1787883096.636951450	s1-eth24	282155389	746819
1787883096.636951450	s1-eth25	190701021	2725118
1787883096.636951450	s1-eth26	350674879	1742395
1787883096.636951450	s1-eth27	2353070800	1578952
1787883096.636951450	s1-eth28	100282553	1600735
1787883096.636951450	s1-eth29	56696094	943753
1787883096.636951450	s1-eth3	10252472578	5251861
1787883096.636951450	s1-eth30	69974393	1134874
1787883096.636951450	s1-eth31	2234592285	657025
1787883096.636951450	s1-eth32	322720759	1424943
1787883096.636951450	s1-eth33	127916015	2007967
1787883096.636951450	s1-eth34	84105348	1245221
1787883096.636951450	s1-eth4	304325639	1197184
1787883096.636951450	s1-eth5	313459661	1390448
1787883096.636951450	s1-eth6	306567210	1345529
1787883096.636951450	s1-eth7	2380080615	2427488
1787883096.636951450	s1-eth8	347334097	1889685
1787883096.636951450	s1-eth9	110474172	1513405
1787883096.636951450	s2-eth1	15111058336	11072542566
1787883096.636951450	s2-eth10	288266001	930916
1787883096.636951450	s2-eth11	3284139904	2628492
1787883096.636951450	s2-eth12	58291233	1027988
1787883096.636951450	s2-eth13	79409837	1022420
1787883096.636951450	s2-eth14	55235712	681600
1787883096.636951450	s2-eth15	2126375679	1931481
1787883096.636951450	s2-eth16	359012489	2013099
1787883096.636951450	s2-eth17	351599770	1960393
1787883096.636951450	s2-eth18	248788387	545334
1787883096.636951450	s2-eth19	755035	7207261662
1787883096.636951450	s2-eth2	203026339	325939
1787883096.636951450	s2-eth20	1621088	191795339
1787883096.636951450	s2-eth21	2735592	241997208
1787883096.636951450	s2-eth22	859826	56738673
1787883096.636951450	s2-eth23	1067420	2011988225
1787883096.636951450	s2-eth24	738496	113474167
1787883096.636951450	s2-eth25	2719621	173878589
1787883096.636951450	s2-eth26	1735118	180817395
1787883096.636951450	s2-eth27	1570616	2092707863
1787883096.636951450	s2-eth28	1594026	95174438
1787883096.636951450	s2-eth29	935704	54796873
1787883096.636951450	s2-eth3	1487524296	837406
1787883096.636951450	s2-eth30	1126729	66833430
1787883096.636951450	s2-eth31	649251	1977226916
1787883096.636951450	s2-eth32	1416433	162142891
1787883096.636951450	s2-eth33	2003859	122892229
1787883096.636951450	s2-eth34	1237621	68212250
1787883096.636951450	s2-eth4	262678168	508673
1787883096.636951450	s2-eth5	396036853	2635405
1787883096.636951450	s2-eth6	365173814	2081370
1787883096.636951450	s2-eth7	2283296436	676022
1787883096.636951450	s2-eth8	289096869	947939
1787883096.636951450	s2-eth9	287793518	890491
1787883096.636951450	s3-eth1	14969927851	11717378752
1787883096.636951450	s3-eth10	797483	42495745
1787883096.636951450	s3-eth11	415267	2047639577
1787883096.636951450	s3-eth12	660324	85907610
1787883096.636951450	s3-eth13	282799	17392742
1787883096.636951450	s3-eth14	772258	88356325
1787883096.636951450	s3-eth15	2299814	1889575664
1787883096.636951450	s3-eth16	2143814	162285762
1787883096.636951450	s3-eth17	2157391	122539256
1787883096.636951450	s3-eth18	4572	47644697
1787883096.636951450	s3-eth19	1495956031	860859
1787883096.636951450	s3-eth2	325939	325939
1787883096.636951450	s3-eth20	366074077	1865880
1787883096.636951450	s3-eth21	261262150	417297
1787883096.636951450	s3-eth22	344180768	1577256
1787883096.636951450	s3-eth23	2329172360	1241202
1787883096.636951450	s3-eth24	337544300	1613335
1787883096.636951450	s3-eth25	381144399	2006986
1787883096.636951450	s3-eth26	288766414	754006
1787883096.636951450	s3-eth27	3308931640	1568520
1787883096.636951450	s3-eth28	215448603	2890420
1787883096.636951450	s3-eth29	144566257	1632572
1787883096.636951450	s3-eth3	5245374	7484027767
1787883096.636951450	s3-eth30	215287795	2987854
1787883096.636951450	s3-eth31	2286642748	1329582
1787883096.636951450	s3-eth32	144870470	1937789
1787883096.636951450	s3-eth33	127869435	1559371
1787883096.636951450	s3-eth34	48326776	537880
1787883096.636951450	s3-eth4	1190481	120366785
1787883096.636951450	s3-eth5	1383737	128437099
1787883096.636951450	s3-eth6	1340144	119039375
1787883096.636951450	s3-eth7	2424390	2042874114
1787883096.636951450	s3-eth8	1883960	161089143
1787883096.636951450	s3-eth9	1506649	93350924
1787883096.636951450	s4-eth1	19597576819	46329613
1787883096.636951450	s4-eth10	923110	109568522
1787883096.636951450	s4-eth11	2625862	2400139046
1787883096.636951450	s4-eth12	1024550	56514402
1787883096.636951450	s4-eth13	1018911	66272884
1787883096.636951450	s4-eth14	678839	40775365
1787883096.636951450	s4-eth15	1931775	1987219538
1787883096.636951450	s4-eth16	2020844	176987231
1787883096.636951450	s4-eth17	1960967	169151444
1787883096.636951450	s4-eth18	536711	80228111
1787883096.636951450	s4-eth19	852321	911785466
1787883096.636951450	s4-eth2	325939	323097
1787883096.636951450	s4-eth20	1874647	252914352
1787883096.636951450	s4-eth21	423659	150278212
1787883096.636951450	s4-eth22	1571196	231347470
1787883096.636951450	s4-eth23	1244494	2263384246
1787883096.636951450	s4-eth24	1613041	232692215
1787883096.636951450	s4-eth25	2005680	265882277
1787883096.636951450	s4-eth26	747674	174047450
1787883096.636951450	s4-eth27	1574826	2674000889
1787883096.636951450	s4-eth28	2897325	202417938
1787883096.636951450	s4-eth29	1634872	132789000
1787883096.636951450	s4-eth3	829958	649293833
1787883096.636951450	s4-eth30	3002165	200861161
1787883096.636951450	s4-eth31	1341369	2238931203
1787883096.636951450	s4-eth32	1939066	132297902
1787883096.636951450	s4-eth33	1557129	116838937
1787883096.636951450	s4-eth34	529892	38543083
1787883096.636951450	s4-eth4	500206	85782882
1787883096.636951450	s4-eth5	2635358	215233981
1787883096.636951450	s4-eth6	2083381	185765597
1787883096.636951450	s4-eth7	672254	2136685437
1787883096.636951450	s4-eth8	947735	110247397
1787883096.636951450	s4-eth9	887873	108563139
1787883096.636951450	s5-eth1	33028377096	47456612
1787883096.636951450	s5-eth2	11075367444	15117211350
1787883096.636951450	s5-eth3	45987185	25418772015
1787883096.636951450	s5-eth4	337592	323300
1787883096.636951450	s6-eth1	741025208	325939
1787883096.636951450	s6-eth2	325939	203026339
1787883096.636951450	s6-eth3	325939	356729462
1787883096.636951450	s6-eth4	337717	325939
1787883096.636951450	s7-eth1	11719251910	14974023131
1787883096.636951450	s7-eth2	46329613	19600039755
1787883096.636951450	s7-eth3	24835283449	45991737
