ts	iface	rx_bytes	tx_bytes
1787643285.865835521	s2-eth30	1422	4260
1787643285.865835521	s2-eth31	1422	4260
1787643285.865835521	s2-eth32	1332	4330
1787643285.865835521	s2-eth33	1422	4240
1787643285.865835521	s2-eth34	1332	4260
1787643285.865835521	s2-eth4	1422	4260
1787643285.865835521	s2-eth5	1422	4330
1787643285.865835521	s2-eth6	1422	4170
1787643285.865835521	s2-eth7	1492	4260
1787643285.865835521	s2-eth8	1422	4260
1787643285.865835521	s2-eth9	1422	4260
1787643285.865835521	s3-eth1	5228	3604
1787643285.865835521	s3-eth10	1422	4260
1787643285.865835521	s3-eth11	1332	4170
1787643285.865835521	s3-eth12	1332	4260
1787643285.865835521	s3-eth13	1422	4260
1787643285.865835521	s3-eth14	1422	4260
1787643285.865835521	s3-eth15	1422	4240
1787643285.865835521	s3-eth16	1332	4330
1787643285.865835521	s3-eth17	1422	4240
1787643285.865835521	s3-eth18	1422	4041
1787643285.865835521	s3-eth19	1402	4280
1787643285.865835521	s3-eth2	5228	5228
1787643285.865835521	s3-eth20	1332	4260
1787643285.865835521	s3-eth21	1422	4260
1787643285.865835521	s3-eth22	1332	4170
1787643285.865835521	s3-eth23	1332	4275
1787643285.865835521	s3-eth24	1332	4260
1787643285.865835521	s3-eth25	1422	4170
1787643285.865835521	s3-eth26	1422	4170
1787643285.865835521	s3-eth27	1332	4260
1787643285.865835521	s3-eth28	1422	4170
1787643285.865835521	s3-eth29	1422	4170
1787643285.865835521	s3-eth3	1422	4260
1787643285.865835521	s3-eth30	1332	4190
1787643285.865835521	s3-eth31	1332	4150
1787643285.865835521	s3-eth32	1422	4170
1787643285.865835521	s3-eth33	1332	4260
1787643285.865835521	s3-eth34	1422	4260
1787643285.865835521	s3-eth4	1422	4170
1787643285.865835521	s3-eth5	1332	4260
1787643285.865835521	s3-eth6	1422	4260
1787643285.865835521	s3-eth7	1422	4170
1787643285.865835521	s3-eth8	1422	4170
1787643285.865835521	s3-eth9	1422	4170
1787643285.865835521	s4-eth1	5228	5361
1787643285.865835521	s4-eth10	1422	4260
1787643285.865835521	s4-eth11	1332	4170
1787643285.865835521	s4-eth12	1172	4170
1787643285.865835521	s4-eth13	1332	4170
1787643285.865835521	s4-eth14	1332	4170
1787643285.865835521	s4-eth15	1492	3967
1787643285.865835521	s4-eth16	1332	4170
1787643285.865835521	s4-eth17	1422	4170
1787643285.865835521	s4-eth18	1422	4260
1787643285.865835521	s4-eth19	1422	4170
1787643285.865835521	s4-eth2	5228	5228
1787643285.865835521	s4-eth20	1332	4260
1787643285.865835521	s4-eth21	1422	4170
1787643285.865835521	s4-eth22	1172	4150
1787643285.865835521	s4-eth23	1332	4260
1787643285.865835521	s4-eth24	1332	3939
1787643285.865835521	s4-eth25	1332	4240
1787643285.865835521	s4-eth26	1422	4240
1787643285.865835521	s4-eth27	1172	4150
1787643285.865835521	s4-eth28	1332	4150
1787643285.865835521	s4-eth29	1332	4170
1787643285.865835521	s4-eth3	1332	4170
1787643285.865835521	s4-eth30	1332	4150
1787643285.865835521	s4-eth31	1332	4240
1787643285.865835521	s4-eth32	1172	4150
1787643285.865835521	s4-eth33	1332	4260
1787643285.865835521	s4-eth34	1172	4170
1787643285.865835521	s4-eth4	1332	4170
1787643285.865835521	s4-eth5	1422	4260
1787643285.865835521	s4-eth6	1332	4260
1787643285.865835521	s4-eth7	1422	4170
1787643285.865835521	s4-eth8	1332	4170
1787643285.865835521	s4-eth9	1402	4170
1787643285.865835521	s5-eth1	5228	5228
1787643285.865835521	s5-eth2	5130	5298
1787643285.865835521	s5-eth3	5298	5228
1787643285.865835521	s5-eth4	5272	5228
1787643285.865835521	s6-eth1	5228	5228
1787643285.865835521	s6-eth2	5228	3604
1787643285.865835521	s6-eth3	5228	5228
1787643285.865835521	s6-eth4	3851	5298
1787643285.865835521	s7-eth1	3604	5228
1787643285.865835521	s7-eth2	5361	5228
1787643285.865835521	s7-eth3	5228	3807
1787643285.865835521	s7-eth4	5272	5228
1787643285.865835521	s8-eth1	5228	5228
1787643285.865835521	s8-eth2	5228	5228
1787643285.865835521	s8-eth3	3604	5228
1787643285.865835521	s8-eth4	5405	5228
1787643285.865835521	s9-eth1	5228	5298
1787643285.865835521	s9-eth2	5228	5228
1787643285.865835521	s9-eth3	3807	5228
1787643285.865835521	s9-eth4	5228	3604
1787643288.292822210	s10-eth1	5255	5300
1787643288.292822210	s10-eth2	5325	3879
1787643288.292822210	s10-eth3	5255	5300
1787643288.292822210	s10-eth4	5255	5433
1787643288.292822210	s1-eth1	5255	5255
1787643288.292822210	s1-eth10	1492	3951
1787643288.292822210	s1-eth11	1332	4190
1787643288.292822210	s1-eth12	1422	4260
1787643288.292822210	s1-eth13	1422	4260
1787643288.292822210	s1-eth14	1422	4260
1787643288.292822210	s1-eth15	1492	4260
1787643288.292822210	s1-eth16	1332	4260
1787643288.292822210	s1-eth17	1422	4260
1787643288.292822210	s1-eth18	1422	4260
1787643288.292822210	s1-eth19	1492	4260
1787643288.292822210	s1-eth2	5255	5255
1787643288.292822210	s1-eth20	1332	4280
1787643288.292822210	s1-eth21	1422	4260
1787643288.292822210	s1-eth22	1422	4260
1787643288.292822210	s1-eth23	1422	4330
1787643288.292822210	s1-eth24	1422	4260
1787643288.292822210	s1-eth25	1422	4260
1787643288.292822210	s1-eth26	1422	4260
1787643288.292822210	s1-eth27	1492	4260
1787643288.292822210	s1-eth28	1422	4280
1787643288.292822210	s1-eth29	1422	4170
1787643288.292822210	s1-eth3	1618	4366
1787643288.292822210	s1-eth30	1332	4260
1787643288.292822210	s1-eth31	1422	4260
1787643288.292822210	s1-eth32	1422	4260
1787643288.292822210	s1-eth33	1422	4240
1787643288.292822210	s1-eth34	1402	4170
1787643288.292822210	s1-eth4	1618	4456
1787643288.292822210	s1-eth5	1492	4260
1787643288.292822210	s1-eth6	1422	4260
1787643288.292822210	s1-eth7	1422	4260
1787643288.292822210	s1-eth8	1332	4260
1787643288.292822210	s1-eth9	1422	4260
1787643288.292822210	s2-eth1	5325	5157
1787643288.292822210	s2-eth10	1422	4260
1787643288.292822210	s2-eth11	1332	4170
1787643288.292822210	s2-eth12	1332	4260
1787643288.292822210	s2-eth13	1422	4260
1787643288.292822210	s2-eth14	1402	4330
1787643288.292822210	s2-eth15	1422	4170
1787643288.292822210	s2-eth16	1492	4330
1787643288.292822210	s2-eth17	1422	4170
1787643288.292822210	s2-eth18	1422	3939
1787643288.292822210	s2-eth19	1422	4260
1787643288.292822210	s2-eth2	3631	5255
1787643288.292822210	s2-eth20	1422	4260
1787643288.292822210	s2-eth21	1422	4260
1787643288.292822210	s2-eth22	1332	4260
1787643288.292822210	s2-eth23	1402	4260
1787643288.292822210	s2-eth24	1422	4260
1787643288.292822210	s2-eth25	1422	4170
1787643288.292822210	s2-eth26	1422	4260
1787643288.292822210	s2-eth27	1422	4260
1787643288.292822210	s2-eth28	1422	4260
1787643288.292822210	s2-eth29	1422	4260
1787643288.292822210	s2-eth3	1402	4260
1787643288.292822210	s2-eth30	1422	4260
1787643288.292822210	s2-eth31	1422	4260
1787643288.292822210	s2-eth32	1332	4330
1787643288.292822210	s2-eth33	1422	4240
1787643288.292822210	s2-eth34	1332	4260
1787643288.292822210	s2-eth4	1492	4260
1787643288.292822210	s2-eth5	1422	4330
1787643288.292822210	s2-eth6	1422	4170
1787643288.292822210	s2-eth7	1492	4260
1787643288.292822210	s2-eth8	1422	4260
1787643288.292822210	s2-eth9	1422	4260
1787643288.292822210	s3-eth1	5255	3631
1787643288.292822210	s3-eth10	1422	4260
1787643288.292822210	s3-eth11	1402	4170
1787643288.292822210	s3-eth12	1332	4260
1787643288.292822210	s3-eth13	1422	4260
1787643288.292822210	s3-eth14	1422	4260
1787643288.292822210	s3-eth15	1422	4240
1787643288.292822210	s3-eth16	1332	4330
1787643288.292822210	s3-eth17	1422	4240
1787643288.292822210	s3-eth18	1422	4041
1787643288.292822210	s3-eth19	1402	4280
1787643288.292822210	s3-eth2	5255	5255
1787643288.292822210	s3-eth20	1332	4260
1787643288.292822210	s3-eth21	1422	4260
1787643288.292822210	s3-eth22	1332	4170
1787643288.292822210	s3-eth23	1332	4275
1787643288.292822210	s3-eth24	1332	4260
1787643288.292822210	s3-eth25	1422	4170
1787643288.292822210	s3-eth26	1422	4170
1787643288.292822210	s3-eth27	1332	4330
1787643288.292822210	s3-eth28	1422	4170
1787643288.292822210	s3-eth29	1422	4170
1787643288.292822210	s3-eth3	1422	4260
1787643288.292822210	s3-eth30	1332	4190
1787643288.292822210	s3-eth31	1402	4220
1787643288.292822210	s3-eth32	1422	4170
1787643288.292822210	s3-eth33	1332	4260
1787643288.292822210	s3-eth34	1422	4260
1787643288.292822210	s3-eth4	1422	4170
1787643288.292822210	s3-eth5	1332	4260
1787643288.292822210	s3-eth6	1422	4260
1787643288.292822210	s3-eth7	1422	4170
1787643288.292822210	s3-eth8	1422	4170
1787643288.292822210	s3-eth9	1422	4170
1787643288.292822210	s4-eth1	5255	5388
1787643288.292822210	s4-eth10	1422	4260
1787643288.292822210	s4-eth11	1332	4170
1787643288.292822210	s4-eth12	1172	4170
1787643288.292822210	s4-eth13	1332	4170
1787643288.292822210	s4-eth14	1332	4170
1787643288.292822210	s4-eth15	1492	3967
1787643288.292822210	s4-eth16	1332	4170
1787643288.292822210	s4-eth17	1422	4240
1787643288.292822210	s4-eth18	1422	4260
1787643288.292822210	s4-eth19	1422	4170
1787643288.292822210	s4-eth2	5255	5255
1787643288.292822210	s4-eth20	1332	4260
1787643288.292822210	s4-eth21	1422	4170
1787643288.292822210	s4-eth22	1172	4150
1787643288.292822210	s4-eth23	1332	4260
1787643288.292822210	s4-eth24	1332	3939
1787643288.292822210	s4-eth25	1332	4240
1787643288.292822210	s4-eth26	1422	4240
1787643288.292822210	s4-eth27	1172	4150
1787643288.292822210	s4-eth28	1332	4150
1787643288.292822210	s4-eth29	1402	4170
1787643288.292822210	s4-eth3	1332	4170
1787643288.292822210	s4-eth30	1332	4150
1787643288.292822210	s4-eth31	1332	4240
1787643288.292822210	s4-eth32	1172	4150
1787643288.292822210	s4-eth33	1332	4260
1787643288.292822210	s4-eth34	1172	4170
1787643288.292822210	s4-eth4	1332	4170
1787643288.292822210	s4-eth5	1422	4260
1787643288.292822210	s4-eth6	1332	4260
1787643288.292822210	s4-eth7	1422	4170
1787643288.292822210	s4-eth8	1332	4170
1787643288.292822210	s4-eth9	1402	4170
1787643288.292822210	s5-eth1	5255	5255
1787643288.292822210	s5-eth2	5157	5325
1787643288.292822210	s5-eth3	5325	5255
1787643288.292822210	s5-eth4	5300	5255
1787643288.292822210	s6-eth1	5255	5255
1787643288.292822210	s6-eth2	5255	3631
1787643288.292822210	s6-eth3	5255	5255
1787643288.292822210	s6-eth4	3879	5325
1787643288.292822210	s7-eth1	3631	5255
1787643288.292822210	s7-eth2	5388	5255
1787643288.292822210	s7-eth3	5255	3834
1787643288.292822210	s7-eth4	5300	5255
1787643288.292822210	s8-eth1	5255	5255
1787643288.292822210	s8-eth2	5255	5255
1787643288.292822210	s8-eth3	3631	5255
1787643288.292822210	s8-eth4	5433	5255
1787643288.292822210	s9-eth1	5255	5325
1787643288.292822210	s9-eth2	5255	5255
1787643288.292822210	s9-eth3	3834	5255
1787643288.292822210	s9-eth4	5255	3631
1787643290.560625718	s10-eth1	5255	5300
1787643290.560625718	s10-eth2	5325	3879
1787643290.560625718	s10-eth3	5255	5300
1787643290.560625718	s10-eth4	5255	5433
1787643290.560625718	s1-eth1	5255	5255
1787643290.560625718	s1-eth10	1492	3951
1787643290.560625718	s1-eth11	1332	4190
1787643290.560625718	s1-eth12	1422	4260
1787643290.560625718	s1-eth13	1422	4260
1787643290.560625718	s1-eth14	1422	4260
1787643290.560625718	s1-eth15	1492	4260
1787643290.560625718	s1-eth16	1332	4260
1787643290.560625718	s1-eth17	1422	4260
1787643290.560625718	s1-eth18	1422	4260
1787643290.560625718	s1-eth19	1492	4260
1787643290.560625718	s1-eth2	5255	5255
1787643290.560625718	s1-eth20	1332	4280
1787643290.560625718	s1-eth21	1422	4260
1787643290.560625718	s1-eth22	1422	4260
1787643290.560625718	s1-eth23	1422	4330
1787643290.560625718	s1-eth24	1422	4260
1787643290.560625718	s1-eth25	1422	4260
1787643290.560625718	s1-eth26	1422	4260
1787643290.560625718	s1-eth27	1492	4260
1787643290.560625718	s1-eth28	1422	4280
1787643290.560625718	s1-eth29	1422	4170
1787643290.560625718	s1-eth3	1618	4366
1787643290.560625718	s1-eth30	1332	4260
1787643290.560625718	s1-eth31	1422	4260
1787643290.560625718	s1-eth32	1422	4260
1787643290.560625718	s1-eth33	1422	4240
1787643290.560625718	s1-eth34	1402	4170
1787643290.560625718	s1-eth4	1618	4456
1787643290.560625718	s1-eth5	1492	4260
1787643290.560625718	s1-eth6	1422	4260
1787643290.560625718	s1-eth7	1422	4260
1787643290.560625718	s1-eth8	1332	4260
1787643290.560625718	s1-eth9	1422	4260
1787643290.560625718	s2-eth1	5325	5157
1787643290.560625718	s2-eth10	1422	4260
1787643290.560625718	s2-eth11	1332	4170
1787643290.560625718	s2-eth12	1332	4260
1787643290.560625718	s2-eth13	1422	4260
1787643290.560625718	s2-eth14	1402	4330
1787643290.560625718	s2-eth15	1422	4170
1787643290.560625718	s2-eth16	1492	4330
1787643290.560625718	s2-eth17	1422	4170
1787643290.560625718	s2-eth18	1422	3939
1787643290.560625718	s2-eth19	1422	4260
1787643290.560625718	s2-eth2	3631	5255
1787643290.560625718	s2-eth20	1422	4260
1787643290.560625718	s2-eth21	1422	4260
1787643290.560625718	s2-eth22	1332	4260
1787643290.560625718	s2-eth23	1402	4260
1787643290.560625718	s2-eth24	1422	4260
1787643290.560625718	s2-eth25	1422	4170
1787643290.560625718	s2-eth26	1422	4260
1787643290.560625718	s2-eth27	1422	4260
1787643290.560625718	s2-eth28	1422	4260
1787643290.560625718	s2-eth29	1422	4260
1787643290.560625718	s2-eth3	1402	4260
1787643290.560625718	s2-eth30	1422	4260
1787643290.560625718	s2-eth31	1422	4260
1787643290.560625718	s2-eth32	1332	4330
1787643290.560625718	s2-eth33	1422	4240
1787643290.560625718	s2-eth34	1332	4260
1787643290.560625718	s2-eth4	1492	4260
1787643290.560625718	s2-eth5	1422	4330
1787643290.560625718	s2-eth6	1422	4170
1787643290.560625718	s2-eth7	1492	4260
1787643290.560625718	s2-eth8	1422	4260
1787643290.560625718	s2-eth9	1422	4260
1787643290.560625718	s3-eth1	5255	3631
1787643290.560625718	s3-eth10	1422	4260
1787643290.560625718	s3-eth11	1402	4170
1787643290.560625718	s3-eth12	1332	4260
1787643290.560625718	s3-eth13	1422	4260
1787643290.560625718	s3-eth14	1422	4260
1787643290.560625718	s3-eth15	1422	4240
1787643290.560625718	s3-eth16	1332	4330
1787643290.560625718	s3-eth17	1422	4240
1787643290.560625718	s3-eth18	1422	4041
1787643290.560625718	s3-eth19	1402	4280
1787643290.560625718	s3-eth2	5255	5255
1787643290.560625718	s3-eth20	1332	4260
1787643290.560625718	s3-eth21	1422	4260
1787643290.560625718	s3-eth22	1332	4170
1787643290.560625718	s3-eth23	1332	4275
1787643290.560625718	s3-eth24	1332	4260
1787643290.560625718	s3-eth25	1422	4170
1787643290.560625718	s3-eth26	1422	4170
1787643290.560625718	s3-eth27	1332	4330
1787643290.560625718	s3-eth28	1422	4170
1787643290.560625718	s3-eth29	1422	4170
1787643290.560625718	s3-eth3	1422	4260
1787643290.560625718	s3-eth30	1332	4190
1787643290.560625718	s3-eth31	1402	4220
1787643290.560625718	s3-eth32	1422	4170
1787643290.560625718	s3-eth33	1332	4260
1787643290.560625718	s3-eth34	1422	4260
1787643290.560625718	s3-eth4	1422	4170
1787643290.560625718	s3-eth5	1332	4260
1787643290.560625718	s3-eth6	1422	4260
1787643290.560625718	s3-eth7	1422	4170
1787643290.560625718	s3-eth8	1422	4170
1787643290.560625718	s3-eth9	1422	4170
1787643290.560625718	s4-eth1	5255	5388
1787643290.560625718	s4-eth10	1422	4260
1787643290.560625718	s4-eth11	1332	4170
1787643290.560625718	s4-eth12	1172	4170
1787643290.560625718	s4-eth13	1332	4170
1787643290.560625718	s4-eth14	1332	4170
1787643290.560625718	s4-eth15	1492	3967
1787643290.560625718	s4-eth16	1332	4170
1787643290.560625718	s4-eth17	1422	4240
1787643290.560625718	s4-eth18	1422	4260
1787643290.560625718	s4-eth19	1422	4170
1787643290.560625718	s4-eth2	5255	5255
1787643290.560625718	s4-eth20	1332	4260
1787643290.560625718	s4-eth21	1422	4170
1787643290.560625718	s4-eth22	1172	4150
1787643290.560625718	s4-eth23	1332	4260
1787643290.560625718	s4-eth24	1332	3939
