ts	iface	rx_bytes	tx_bytes
1787804692.871059606	s3-eth29	1702	6291
1787804692.871059606	s3-eth3	9578	2633857660
1787804692.871059606	s3-eth30	1702	6291
1787804692.871059606	s3-eth31	952763161	13925
1787804692.871059606	s3-eth32	1702	6291
1787804692.871059606	s3-eth33	1702	6291
1787804692.871059606	s3-eth34	1702	6221
1787804692.871059606	s3-eth4	1702	6291
1787804692.871059606	s3-eth5	1702	6291
1787804692.871059606	s3-eth6	1702	6291
1787804692.871059606	s3-eth7	9840	753360325
1787804692.871059606	s3-eth8	1702	6291
1787804692.871059606	s3-eth9	1702	6291
1787804692.871059606	s4-eth1	5865716168	84465
1787804692.871059606	s4-eth10	1702	6291
1787804692.871059606	s4-eth11	10470	879553088
1787804692.871059606	s4-eth12	1702	6291
1787804692.871059606	s4-eth13	1702	6291
1787804692.871059606	s4-eth14	1702	6291
1787804692.871059606	s4-eth15	9895	878252197
1787804692.871059606	s4-eth16	1702	6381
1787804692.871059606	s4-eth17	1702	6201
1787804692.871059606	s4-eth18	1632	6291
1787804692.871059606	s4-eth19	9538	187194704
1787804692.871059606	s4-eth2	19760	19760
1787804692.871059606	s4-eth20	1702	6291
1787804692.871059606	s4-eth21	1702	6291
1787804692.871059606	s4-eth22	1702	6411
1787804692.871059606	s4-eth23	9845	922224232
1787804692.871059606	s4-eth24	1702	6291
1787804692.871059606	s4-eth25	1702	6291
1787804692.871059606	s4-eth26	1612	6291
1787804692.871059606	s4-eth27	9629	922557471
1787804692.871059606	s4-eth28	1702	6291
1787804692.871059606	s4-eth29	1702	6291
1787804692.871059606	s4-eth3	9902	179375248
1787804692.871059606	s4-eth30	1702	6291
1787804692.871059606	s4-eth31	9246	922452494
1787804692.871059606	s4-eth32	1702	6291
1787804692.871059606	s4-eth33	1702	6381
1787804692.871059606	s4-eth34	1702	6291
1787804692.871059606	s4-eth4	1702	6291
1787804692.871059606	s4-eth5	1702	6291
1787804692.871059606	s4-eth6	1702	6087
1787804692.871059606	s4-eth7	9706	880250151
1787804692.871059606	s4-eth8	1702	6291
1787804692.871059606	s4-eth9	1702	6291
1787804692.871059606	s5-eth1	11093522178	83802
1787804692.871059606	s5-eth2	3029404332	5146046815
1787804692.871059606	s5-eth3	19760	17344
1787804692.871059606	s5-eth4	86098	8125867425
1787804692.871059606	s6-eth1	96091541	17254
1787804692.871059606	s6-eth2	19760	33674598
1787804692.871059606	s6-eth3	19760	17324
1787804692.871059606	s6-eth4	20267	38084234
1787804692.871059606	s7-eth1	3031965008	4983243387
1787804692.871059606	s7-eth2	84465	5865716168
1787804692.871059606	s7-eth3	17527	19760
1787804692.871059606	s7-eth4	7989934509	85681
1787804692.871059606	s8-eth1	19760	17527
1787804692.871059606	s8-eth2	19760	19760
1787804692.871059606	s8-eth3	19760	19760
1787804692.871059606	s8-eth4	20267	19850
1787804692.871059606	s9-eth1	17344	19760
1787804692.871059606	s9-eth2	17324	19760
1787804692.871059606	s9-eth3	19760	17527
1787804692.871059606	s9-eth4	19760	19760
1787804695.183232021	s10-eth1	8125867425	86098
1787804695.183232021	s10-eth2	38084234	20267
1787804695.183232021	s10-eth3	85681	7989934509
1787804695.183232021	s10-eth4	19850	20267
1787804695.183232021	s1-eth1	83802	11093522178
1787804695.183232021	s1-eth10	1702	6291
1787804695.183232021	s1-eth11	952759513	14740
1787804695.183232021	s1-eth12	1702	6291
1787804695.183232021	s1-eth13	1702	6396
1787804695.183232021	s1-eth14	1702	6291
1787804695.183232021	s1-eth15	952756437	14494
1787804695.183232021	s1-eth16	1702	6291
1787804695.183232021	s1-eth17	1702	6291
1787804695.183232021	s1-eth18	1702	6291
1787804695.183232021	s1-eth19	3810979238	14169
1787804695.183232021	s1-eth2	17254	96091541
1787804695.183232021	s1-eth20	1702	6291
1787804695.183232021	s1-eth21	1702	6291
1787804695.183232021	s1-eth22	1702	6291
1787804695.183232021	s1-eth23	952759431	14184
1787804695.183232021	s1-eth24	1702	6291
1787804695.183232021	s1-eth25	1702	6381
1787804695.183232021	s1-eth26	1702	6291
1787804695.183232021	s1-eth27	952737621	14077
1787804695.183232021	s1-eth28	1702	6381
1787804695.183232021	s1-eth29	1702	6291
1787804695.183232021	s1-eth3	3810959247	14167
1787804695.183232021	s1-eth30	1702	6291
1787804695.183232021	s1-eth31	952761255	14298
1787804695.183232021	s1-eth32	1702	6291
1787804695.183232021	s1-eth33	1702	6291
1787804695.183232021	s1-eth34	1702	6291
1787804695.183232021	s1-eth4	1702	6291
1787804695.183232021	s1-eth5	1702	6291
1787804695.183232021	s1-eth6	1702	6291
1787804695.183232021	s1-eth7	952738699	14429
1787804695.183232021	s1-eth8	1632	6291
1787804695.183232021	s1-eth9	1702	6291
1787804695.183232021	s2-eth1	5146046815	3029404332
1787804695.183232021	s2-eth10	1702	6291
1787804695.183232021	s2-eth11	952760425	14457
1787804695.183232021	s2-eth12	1702	6291
1787804695.183232021	s2-eth13	1702	6291
1787804695.183232021	s2-eth14	1702	6291
1787804695.183232021	s2-eth15	952748604	14417
1787804695.183232021	s2-eth16	1702	6381
1787804695.183232021	s2-eth17	1702	6381
1787804695.183232021	s2-eth18	1702	6291
1787804695.183232021	s2-eth19	9580	2724152686
1787804695.183232021	s2-eth2	33674598	19760
1787804695.183232021	s2-eth20	1702	6291
1787804695.183232021	s2-eth21	1702	6291
1787804695.183232021	s2-eth22	1702	6291
1787804695.183232021	s2-eth23	9505	780625159
1787804695.183232021	s2-eth24	1702	6291
1787804695.183232021	s2-eth25	1702	6291
1787804695.183232021	s2-eth26	1702	6291
1787804695.183232021	s2-eth27	9488	779102204
1787804695.183232021	s2-eth28	1702	6291
1787804695.183232021	s2-eth29	1702	6072
1787804695.183232021	s2-eth3	190566413	14491
1787804695.183232021	s2-eth30	1702	6291
1787804695.183232021	s2-eth31	9709	778673117
1787804695.183232021	s2-eth32	1702	6291
1787804695.183232021	s2-eth33	1702	6291
1787804695.183232021	s2-eth34	1702	6291
1787804695.183232021	s2-eth4	1702	6381
1787804695.183232021	s2-eth5	1702	6291
1787804695.183232021	s2-eth6	1702	6291
1787804695.183232021	s2-eth7	952761612	14076
1787804695.183232021	s2-eth8	1702	6291
1787804695.183232021	s2-eth9	1702	6291
1787804695.183232021	s3-eth1	4983243387	3031965008
1787804695.183232021	s3-eth10	1702	6178
1787804695.183232021	s3-eth11	10151	753045459
1787804695.183232021	s3-eth12	1702	6291
1787804695.183232021	s3-eth13	1702	6291
1787804695.183232021	s3-eth14	1702	6221
1787804695.183232021	s3-eth15	9905	751930468
1787804695.183232021	s3-eth16	1702	6291
1787804695.183232021	s3-eth17	1702	6291
1787804695.183232021	s3-eth18	1702	6291
1787804695.183232021	s3-eth19	190567189	13994
1787804695.183232021	s3-eth2	17527	19760
1787804695.183232021	s3-eth20	1702	6291
1787804695.183232021	s3-eth21	1702	6291
1787804695.183232021	s3-eth22	1702	6291
1787804695.183232021	s3-eth23	952762645	14301
1787804695.183232021	s3-eth24	1702	6291
1787804695.183232021	s3-eth25	1702	6291
1787804695.183232021	s3-eth26	1702	6291
1787804695.183232021	s3-eth27	952762782	14151
1787804695.183232021	s3-eth28	1702	6291
1787804695.183232021	s3-eth29	1702	6291
1787804695.183232021	s3-eth3	9578	2633857660
1787804695.183232021	s3-eth30	1702	6291
1787804695.183232021	s3-eth31	952763161	13925
1787804695.183232021	s3-eth32	1702	6291
1787804695.183232021	s3-eth33	1702	6291
1787804695.183232021	s3-eth34	1702	6221
1787804695.183232021	s3-eth4	1702	6291
1787804695.183232021	s3-eth5	1702	6291
1787804695.183232021	s3-eth6	1702	6291
1787804695.183232021	s3-eth7	9840	753360325
1787804695.183232021	s3-eth8	1702	6291
1787804695.183232021	s3-eth9	1702	6291
1787804695.183232021	s4-eth1	5865716168	84465
1787804695.183232021	s4-eth10	1702	6291
1787804695.183232021	s4-eth11	10470	879553088
1787804695.183232021	s4-eth12	1702	6291
1787804695.183232021	s4-eth13	1702	6291
1787804695.183232021	s4-eth14	1702	6291
1787804695.183232021	s4-eth15	9895	878252197
1787804695.183232021	s4-eth16	1702	6381
1787804695.183232021	s4-eth17	1702	6201
1787804695.183232021	s4-eth18	1632	6291
1787804695.183232021	s4-eth19	9538	187194704
1787804695.183232021	s4-eth2	19760	19760
1787804695.183232021	s4-eth20	1702	6291
1787804695.183232021	s4-eth21	1702	6291
1787804695.183232021	s4-eth22	1702	6411
1787804695.183232021	s4-eth23	9845	922224232
1787804695.183232021	s4-eth24	1702	6291
1787804695.183232021	s4-eth25	1702	6291
1787804695.183232021	s4-eth26	1612	6291
1787804695.183232021	s4-eth27	9629	922557471
1787804695.183232021	s4-eth28	1702	6291
1787804695.183232021	s4-eth29	1702	6291
1787804695.183232021	s4-eth3	9902	179375248
1787804695.183232021	s4-eth30	1702	6291
1787804695.183232021	s4-eth31	9246	922452494
1787804695.183232021	s4-eth32	1702	6291
1787804695.183232021	s4-eth33	1702	6381
1787804695.183232021	s4-eth34	1702	6291
1787804695.183232021	s4-eth4	1702	6291
1787804695.183232021	s4-eth5	1702	6291
1787804695.183232021	s4-eth6	1702	6087
1787804695.183232021	s4-eth7	9706	880250151
1787804695.183232021	s4-eth8	1702	6291
1787804695.183232021	s4-eth9	1702	6291
1787804695.183232021	s5-eth1	11093522178	83802
